 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),23024,137108,101827,58806,23444,112253,43763,103706,49433,107602,127707, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,80,80,80,--,68,--,78,--,151,131, 
 收到的其他与经营活动有关的现金(万元),1006,416,507,52,12,684,525,12568,32,9648,361, 
 经营活动现金流入小计(万元),24030,137604,102413,58938,23456,113005,44288,116352,49465,117401,128199, 
 购买商品、接受劳务支付的现金(万元),48918,116225,86499,57225,33468,97644,45487,85200,47688,96463,108745, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2763,9297,7031,4842,2588,7253,3354,5765,2832,5362,5145, 
 支付的各项税费(万元),816,2820,2122,1634,504,2103,1023,2275,1309,1925,2547, 
 支付的其他与经营活动有关的现金(万元),618,3906,3145,1916,652,4218,2050,15294,1876,12931,4506, 
 经营活动现金流出小计(万元),53115,132248,98797,65617,37211,111217,51914,108534,53705,116681,120942, 
 经营活动产生的现金流量净额(万元),-29084,5355,3616,-6679,-13755,1787,-7626,7818,-4240,720,7257, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),20,27,12,7,5,19,13,33,2,36,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,28,26,23,20,5,5,2,0,9,10, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),17800,37250,25700,16300,9800,46000,22700,32825,14120,63727,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),17820,37305,25738,16330,9825,46024,22718,32860,14123,63773,10, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),607,14011,13574,1269,1033,3777,2047,2052,953,1122,978, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),3600,46100,26550,10950,4650,38150,9500,40685,9080,69067,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),4207,60111,40124,12219,5683,41927,11547,42737,10033,70189,978, 
 投资活动产生的现金流量净额(万元),13613,-22806,-14386,4111,4142,4097,11171,-9877,4089,-6416,-968, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),20200,44258,36258,17498,6283,38101,18581,31870,19120,34290,50680, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
