报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),8277,33930,24125,15568,6950,28491,20452,27445,24103,22531,
营业收入(万元),8277,33930,24125,15568,6950,28491,20452,27445,24103,22531,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),7790,30954,21576,13711,6021,24865,17654,23427,19579,17044,
营业成本(万元),6327,25103,17764,11331,4953,20125,14279,18696,15765,13783,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),23,145,74,46,26,106,80,120,137,140,
销售费用(万元),454,1757,1121,683,342,1237,809,966,787,688,
管理费用(万元),966,3689,2576,1645,844,3237,2466,3212,2870,2328,
财务费用(万元),27,66,127,74,35,-8,16,227,-21,113,
资产减值损失(万元),-6,195,-85,-68,-179,169,5,205,41,-9,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),155,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1286,4613,3655,2460,1136,3626,2797,4018,4524,5488,
营业外收入(万元),42,605,244,220,203,1413,898,851,1297,1210,
营业外支出(万元),0,7,4,4,--,1,1,47,4,1,
非流动资产处置损失(万元),--,--,--,--,--,1,--,47,--,--,
利润总额(万元),1328,5211,3895,2677,1340,5038,3694,4822,5817,6697,
所得税费用(万元),6,628,251,186,152,511,389,553,672,753,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),1321,4583,3644,2491,1188,4527,3304,4269,5145,5943,
归属于母公司所有者的净利润(万元),1321,4583,3644,2491,1188,4527,3304,4269,5145,5943,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.13,0.58,0.49,0.33,0.16,0.6,0.44,0.57,--,--,
稀释每股收益,0.13,0.58,0.49,0.33,0.16,0.6,0.44,0.57,--,--,
