 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),13893,53798,39659,25848,12392,53099,38718,53105,53644,44667, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),479,2101,1508,987,408,3033,2610,4183,3787,3543, 
 收到的其他与经营活动有关的现金(万元),485,1417,790,302,169,2253,2177,1647,1807,2119, 
 经营活动现金流入小计(万元),14857,57317,41957,27138,12969,58385,43505,58935,59237,50329, 
 购买商品、接受劳务支付的现金(万元),11031,35809,27197,16988,8481,31632,24275,30802,35936,34090, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3489,11433,8468,5738,2901,9964,7361,9490,9366,8458, 
 支付的各项税费(万元),824,4021,3072,2100,1235,3491,2606,6257,4963,3405, 
 支付的其他与经营活动有关的现金(万元),924,4142,2588,1871,954,5181,3141,6742,5178,3168, 
 经营活动现金流出小计(万元),16269,55405,41325,26697,13572,50269,37383,53291,55443,49121, 
 经营活动产生的现金流量净额(万元),-1413,1911,632,441,-603,8116,6122,5644,3794,1208, 
 收回投资所收到的现金(万元),--,1005,1005,1005,1000,--,--,--,33,--, 
 取得投资收益所收到的现金(万元),--,115,19,15,10,73,64,21,62,33, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),171,37,9,1,--,2,--,109,38,116, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),171,1157,1032,1021,1010,74,64,130,132,149, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1010,3242,2673,1526,927,3779,2723,3621,3254,3397, 
 投资所支付的现金(万元),10000,210,210,210,210,4326,3139,--,30,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),11010,3453,2883,1737,1138,8105,5862,3621,3284,3397, 
 投资活动产生的现金流量净额(万元),-10839,-2295,-1851,-716,-128,-8031,-5798,-3491,-3153,-3248, 
 吸收投资收到的现金(万元),--,20647,--,--,--,407,97,--,--,1, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,407,97,--,--,--, 
 取得借款收到的现金(万元),--,29950,16450,12450,1950,25985,15685,38593,36368,29667, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,3028,978,978,478,5370,2370,4438,--,--, 
 筹资活动现金流入小计(万元),0,53625,17428,13428,2428,31762,18152,43031,36368,29668, 
 偿还债务支付的现金(万元),1955,28880,14955,10975,1955,24539,16219,39859,34118,20449, 
 分配股利、利润或偿付利息所支付的现金(万元),371,2368,2012,1663,348,2655,982,1519,1577,2385, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),428,1152,1050,1050,--,2750,2250,3815,3000,1172, 
 筹资活动现金流出小计(万元),2754,32400,18017,13688,2303,29943,19450,45193,38695,24006, 
 筹资活动产生的现金流量净额(万元),-2754,21225,-589,-260,125,1818,-1298,-2162,-2326,5662, 
 汇率变动对现金及现金等价物的影响(万元),-29,-60,-47,-22,-9,-53,39,282,-70,145, 
 现金及现金等价物净增加额(万元),-15035,20782,-1855,-556,-615,1851,-935,273,-1755,3768, 
 加:期初现金及现金等价物余额(万元),26718,5936,5936,5936,5936,4086,4086,3813,5568,1800, 
 期末现金及现金等价物余额(万元),11683,26718,4082,5380,5321,5936,3150,4086,3813,5568, 
 净利润(万元),--,4513,--,2218,--,4489,--,4289,4887,3252, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,134,--,94,--,12,--,106,-269,76, 
