报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),4414,90007,41440,5776,65352,13383,35227,4215,101,
营业收入(万元),4414,90007,41440,5776,65352,13383,35227,4215,101,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),5478,82684,37706,6675,56266,13067,32207,3600,251,
营业成本(万元),2567,65907,31561,4438,45620,10086,24831,2679,33,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),18,427,128,12,338,34,172,12,--,
销售费用(万元),437,4007,1869,820,2681,645,1303,233,3,
管理费用(万元),2059,8613,3825,1606,5034,2041,4276,614,210,
财务费用(万元),556,1434,509,-51,424,126,111,14,2,
资产减值损失(万元),-159,2295,-186,-151,2169,135,1514,46,3,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,3,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),-1063,8808,3733,-899,9087,316,3021,619,-150,
营业外收入(万元),69,220,330,101,393,43,703,15,103,
营业外支出(万元),2,24,11,1,31,22,248,--,1,
非流动资产处置损失(万元),--,--,--,--,--,--,228,--,--,
利润总额(万元),-996,9004,4052,-799,9449,337,3476,634,-47,
所得税费用(万元),--,-422,684,--,1263,-6,840,90,-2,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),-996,9426,3367,-799,8187,343,2635,544,-46,
归属于母公司所有者的净利润(万元),-996,9426,3367,-799,8187,343,2635,544,-46,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
基本每股收益,-0.17,1.6,0.57,-0.14,1.45,0.06,0.51,--,--,
稀释每股收益,--,1.6,0.57,--,1.45,0.06,0.51,--,--,
