 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),66793,238648,83954,36794,196420,71483,149518,109783,115108, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),3407,10845,5393,1965,16605,7163,17738,12068,10751, 
 经营活动现金流入小计(万元),70200,249493,89347,38759,213025,78646,167256,121851,125858, 
 购买商品、接受劳务支付的现金(万元),77818,150587,81304,48550,128635,62390,86735,65281,54272, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),23742,70389,34238,20266,48575,23258,34886,28845,48628, 
 支付的各项税费(万元),6779,13853,8128,2756,12959,7124,8256,5170,6595, 
 支付的其他与经营活动有关的现金(万元),1534,33471,12936,6505,30562,15243,23420,15626,15091, 
 经营活动现金流出小计(万元),109872,268300,136607,78078,220731,108014,153297,114921,124586, 
 经营活动产生的现金流量净额(万元),-39672,-18808,-47259,-39319,-7706,-29368,13959,6930,1273, 
 收回投资所收到的现金(万元),--,--,0,--,--,--,518,--,--, 
 取得投资收益所收到的现金(万元),--,0,--,--,--,--,2079,--,1000, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),39,171,125,13,54,30,23,40,39, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,390,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),39,172,126,13,54,30,3010,40,1039, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),495,2250,1132,323,1259,435,4498,560,1099, 
 投资所支付的现金(万元),--,--,--,--,--,--,1000,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,2659,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,390,3413, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),495,2250,1132,323,3918,435,5498,950,4512, 
 投资活动产生的现金流量净额(万元),-456,-2079,-1006,-310,-3864,-405,-2488,-910,-3473, 
 吸收投资收到的现金(万元),125596,--,--,--,22000,22000,--,--,1000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),62000,55830,45830,19430,35170,11300,20498,995,16360, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),2010,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),189606,55830,45830,19430,57170,33300,20498,995,17360, 
 偿还债务支付的现金(万元),8584,50713,13871,3036,29135,10066,16866,6595,12760, 
 分配股利、利润或偿付利息所支付的现金(万元),607,1659,620,237,5593,5217,377,678,1364, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),2467,--,--,--,254,254,--,--,13371, 
 筹资活动现金流出小计(万元),11658,52373,14491,3273,34982,15537,17243,7273,27495, 
 筹资活动产生的现金流量净额(万元),177949,3457,31339,16157,22188,17763,3255,-6278,-10135, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),137821,-17429,-16926,-23472,10617,-12010,14726,-259,-12335, 
 加:期初现金及现金等价物余额(万元),16090,33519,33519,33519,22901,22901,8176,8434,20770, 
 期末现金及现金等价物余额(万元),153910,16090,16593,10047,33519,10892,22901,8176,8434, 
 净利润(万元),--,23940,10175,--,17882,7585,14511,10648,6873, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,3835,2330,--,2638,1788,651,475,792, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1293,581,--,896,406,839,987,1263, 
 无形资产摊销(万元),--,45,10,--,10,5,1,10,14, 
 长期待摊费用摊销(万元),--,39,19,--,47,3,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,72,14,--,5,8,6,-7,-5, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,1653,662,--,638,254,384,678,333, 
 投资损失(万元),--,-0,-0,--,--,--,--,--,3105, 
 递延所得税资产减少(万元),--,-840,214,--,-976,-274,-671,-598,-467, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,-2, 
 存货的减少(万元),--,-5406,314,--,-8092,-2411,-16256,-5486,-7894, 
 经营性应收项目的减少(万元),--,-59787,-44709,--,-52917,-35228,-6662,-6519,-10310, 
 经营性应付项目的增加(万元),--,16348,-16870,--,32163,-1505,21155,6743,7569, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-18808,-47259,--,-7706,-29368,13959,6930,1273, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),153910,16090,16593,10047,33519,10892,22901,8176,8434, 
