报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),11008,27274,19512,13009,6173,27576,16965,26697,13909,33869,29765,28527,
营业收入(万元),11008,27274,19512,13009,6173,27576,16965,26697,13909,33869,29765,28527,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),10232,22919,15039,9415,4086,20461,12878,19737,9469,22325,18658,17488,
营业成本(万元),2481,8775,7054,5336,2785,14695,9257,14317,7254,17285,14176,12758,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),257,475,309,206,119,435,232,326,185,327,285,377,
销售费用(万元),6284,10718,5620,2593,702,2337,1271,2217,804,2152,2187,2684,
管理费用(万元),1168,2641,1900,1171,463,2836,2012,2567,1088,2332,1986,1672,
财务费用(万元),43,154,115,69,17,112,89,270,138,184,-9,6,
资产减值损失(万元),--,157,40,40,--,46,17,40,0,43,33,-8,
公允价值变动收益(万元),221,-17,-17,-17,-17,-153,-170,12,-7,158,--,--,
投资收益(万元),6,30,30,30,30,278,265,368,234,99,74,6,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1004,4574,4487,3607,2100,7240,4182,7340,4667,11801,11182,11044,
营业外收入(万元),7,664,110,60,61,66,20,292,--,260,523,458,
营业外支出(万元),--,5,1,1,1,1,1,320,200,296,904,394,
非流动资产处置损失(万元),--,--,1,1,--,1,1,--,--,31,787,6,
利润总额(万元),1011,5234,4596,3666,2160,7305,4201,7312,4467,11765,10801,11109,
所得税费用(万元),144,788,694,549,326,1088,633,1083,668,1758,1598,1649,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),867,4445,3902,3117,1834,6217,3568,6229,3799,10007,9203,9459,
归属于母公司所有者的净利润(万元),867,4445,3902,3117,1834,6217,3568,6229,3799,10007,9203,9459,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.09,0.55,0.52,0.42,0.24,0.83,0.48,1,0.51,2,1.84,1.89,
稀释每股收益,0.09,0.55,0.52,0.42,0.24,0.83,0.48,1,0.51,2,1.84,1.89,
