报告日期,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),63419,48191,45471,37286,29004,13872,29803,24785,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),24112,4850,17153,13771,6938,15900,3109,8160,
应收账款(万元),82223,124322,99057,84578,58784,55375,30731,28270,
预付款项(万元),23797,16803,20446,9665,15176,13421,13961,15110,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),0,0,0,--,0,1,--,0,
应收股利(万元),--,--,0,--,--,--,--,--,
其他应收款(万元),817,796,705,704,990,809,607,506,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),136645,112493,96733,77326,49324,48148,43437,43814,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),5763,--,--,--,--,--,--,--,
流动资产合计(万元),336776,307455,279567,223331,160216,147526,121648,120645,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1394,1400,1301,1452,874,865,1113,1009,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),15520,14916,12426,11156,11185,9990,7600,6245,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),--,303875,279396,246795,178114,--,--,--,
累计折旧(万元),--,127660,118045,96428,72090,--,--,--,
固定资产净值(万元),--,176215,161351,150366,106024,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),174787,176215,161351,150366,106024,105830,89123,71462,
在建工程(万元),21022,19311,13999,15329,11071,5823,7869,8976,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),89,--,--,--,--,11,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),20762,21913,25635,27545,11339,11015,7886,5040,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,11056,11056,--,--,--,--,
长期待摊费用(万元),1052,984,688,627,193,152,151,80,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),3649,3232,3879,2382,1675,1573,1657,547,
其他非流动资产(万元),--,--,--,--,--,--,--,--,
非流动资产合计(万元),238275,237972,230336,219914,142360,135259,115398,93360,
资产总计(万元),575050,545426,509902,443245,302575,282785,237046,214005,
短期借款(万元),77550,79650,88672,59654,67166,56183,47963,37077,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),6998,5246,3101,2606,3292,11361,1572,1752,
应付账款(万元),137145,135917,124070,109662,82970,67036,54190,54879,
预收账款(万元),11764,10344,6076,2005,918,596,705,762,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),7684,5636,6192,5174,5682,4252,3462,3415,
应交税费(万元),3069,3603,850,-74,1952,1539,126,850,
应付利息(万元),260,177,200,191,255,262,219,157,
应付股利(万元),--,--,--,--,--,2712,--,--,
