报告日期,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),455103,196634,327675,214910,269484,231386,194544,
营业收入(万元),455103,196634,327675,214910,269484,231386,194544,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),413906,178821,320795,205561,245490,213837,177733,
营业成本(万元),288605,129086,216651,141065,184017,162927,138894,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),3984,1700,2119,1307,1912,1313,733,
销售费用(万元),72701,26379,51983,33013,36999,28839,20516,
管理费用(万元),40432,18921,49912,30863,23086,19945,15956,
财务费用(万元),3324,568,-2633,-1312,-2020,254,1137,
资产减值损失(万元),4860,2168,2763,625,1494,560,497,
公允价值变动收益(万元),245,254,891,578,-3037,227,1231,
投资收益(万元),1860,868,-1001,-964,-442,714,1038,
对联营企业和合营企业的投资收益(万元),728,469,572,286,77,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),45232,19737,6770,8963,20515,18490,19080,
营业外收入(万元),694,345,1700,1085,1214,1885,1211,
营业外支出(万元),441,34,182,178,145,42,84,
非流动资产处置损失(万元),--,5,--,89,--,14,12,
利润总额(万元),45485,20048,8288,9870,21583,20333,20207,
所得税费用(万元),8003,3911,3002,1954,3669,3723,3262,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),37482,16137,5286,7916,17914,16610,16945,
归属于母公司所有者的净利润(万元),37566,16192,5101,7748,17877,15729,16364,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),-85,-55,185,169,37,881,581,
基本每股收益,1.04,0.45,0.21,0.37,1.15,1.08,4.82,
稀释每股收益,1.04,0.45,0.21,0.37,1.15,1.08,4.82,
