 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),75891,274327,122736,74215,272374,351430,386489, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),7453,20568,8613,4051,24801,21614,22083, 
 经营活动现金流入小计(万元),83344,294895,131349,78266,297176,373044,408572, 
 购买商品、接受劳务支付的现金(万元),13822,43390,26209,10318,66629,92737,93325, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5159,19627,9084,4297,22459,24567,26059, 
 支付的各项税费(万元),21313,56474,27837,15827,54329,59262,76970, 
 支付的其他与经营活动有关的现金(万元),10966,31189,13901,8129,39037,37477,34890, 
 经营活动现金流出小计(万元),51260,150680,77032,38571,182454,214042,231244, 
 经营活动产生的现金流量净额(万元),32084,144215,54317,39696,114722,159002,177328, 
 收回投资所收到的现金(万元),1505,29851,22803,18640,95315,85140,933, 
 取得投资收益所收到的现金(万元),799,133,84,58,84286,3451,1411, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),240,438,124,91,414,202,199, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,154289,--,--, 
