报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),17768,77680,58120,38172,16414,58151,40158,25878,46200,30241,27196,
营业收入(万元),17768,77680,58120,38172,16414,58151,40158,25878,46200,30241,27196,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),15678,65059,48096,31579,13537,47378,32360,20503,38982,27430,23966,
营业成本(万元),13746,56660,42075,27583,12049,41048,27718,17628,32659,22867,20227,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),104,408,338,218,89,288,238,144,184,121,138,
销售费用(万元),484,2132,1470,926,431,1627,1131,662,1219,945,794,
管理费用(万元),1238,4972,3444,2232,981,3777,2742,1884,4304,2273,2178,
财务费用(万元),116,376,296,159,68,204,165,135,135,270,406,
资产减值损失(万元),-10,511,473,460,-80,434,366,51,480,955,222,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),11,--,--,--,--,13,5,5,16,501,38,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2119,12855,10062,6594,2882,10786,7803,5380,7234,3312,3267,
营业外收入(万元),0,166,178,41,11,537,232,77,188,172,145,
营业外支出(万元),7,72,40,32,1,514,217,200,139,83,79,
非流动资产处置损失(万元),--,--,23,21,--,439,167,167,40,6,34,
利润总额(万元),2112,12948,10200,6603,2892,10809,7818,5257,7283,3401,3333,
所得税费用(万元),262,1753,1345,900,390,1559,1038,810,1463,612,556,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1850,11196,8855,5703,2502,9251,6780,4447,5821,2789,2777,
归属于母公司所有者的净利润(万元),1850,11196,8855,5703,2502,9251,6780,4447,5872,2711,2833,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,735,922,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,-51,78,-55,
基本每股收益,0.18,1.45,1.18,0.76,0.33,1.23,0.9,0.59,1,--,--,
稀释每股收益,0.18,1.45,1.18,0.76,0.33,1.23,0.9,0.59,1,--,--,
