 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),20437,71273,34923,17770,63610,54739,28869,51028,42338,38376,31061, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,0,42,88,41, 
 收到的其他与经营活动有关的现金(万元),311,1229,885,511,2146,1457,837,1046,1498,3270,1442, 
 经营活动现金流入小计(万元),20747,72502,35807,18281,65756,56196,29706,52074,43878,41734,32544, 
 购买商品、接受劳务支付的现金(万元),2571,12824,6914,3078,11797,9785,5514,7630,10034,11622,10068, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2545,8631,4305,2322,7640,6572,3182,5672,5120,4252,3145, 
 支付的各项税费(万元),3682,9895,4682,2274,9277,8250,4212,7855,6457,5244,5166, 
 支付的其他与经营活动有关的现金(万元),10029,35356,15410,7196,27635,26575,13514,25117,19100,13615,10794, 
 经营活动现金流出小计(万元),18827,66707,31312,14870,56349,51182,26422,46273,40711,34733,29173, 
 经营活动产生的现金流量净额(万元),1920,5795,4496,3410,9407,5014,3284,5801,3167,7001,3371, 
 收回投资所收到的现金(万元),--,1496,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,1,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,2,2,1,--,3,3, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,3167,--,62,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,4664,0,62,0,2,2,1,0,3,3, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2234,3640,2069,1315,6387,6605,3420,1917,2451,2075,6089, 
