 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,-386225,--,50764,-166174,84050, 
 收取利息、手续费及佣金的现金(万元),68215,323813,158455,70503,353978,706719,300440, 
 拆入资金净增加额(万元),53593,20000,15000,--,--,-142400,122400, 
 回购业务资金净增加额(万元),-164974,959446,587001,18150,-496114,-165917,198755, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),36930,11213,6665,10658,66521,21972,3040, 
 经营活动现金流入小计(万元),108046,1330176,451311,108015,192238,1136497,1578193, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),4561,71304,25912,9945,49651,101680,35946, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),36570,93760,55615,36155,116370,132224,69025, 
 支付的各项税费(万元),7465,42851,24095,9647,69587,131522,40511, 
 支付的其他与经营活动有关的现金(万元),6750,75595,50242,8762,50976,50983,76873, 
 经营活动现金流出小计(万元),294361,1315635,388424,400439,1101762,638836,858262, 
 经营活动产生的现金流量净额(万元),-186315,14541,62887,-292424,-909523,497662,719931, 
 收回投资所收到的现金(万元),586288,265817,248401,145848,143422,131961,113270, 
 取得投资收益所收到的现金(万元),7422,32451,16588,10002,30957,20592,16213, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,13478,1,--,39,59,109, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),9,--,--,0,6038,3,374, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),593719,311747,264991,155850,180455,152615,129967, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4277,10954,2956,1595,5590,8281,13220, 
 投资所支付的现金(万元),654025,281550,101441,7885,190320,460989,232643, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),118,1487,--,--,--,--,103, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),658421,293991,104397,9480,195910,469270,245965, 
 投资活动产生的现金流量净额(万元),-64702,17756,160594,146370,-15455,-316655,-115999, 
 吸收投资收到的现金(万元),487128,491,491,490,--,16069,820, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,491,491,490,--,4714,820, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),67324,904695,627980,83000,476000,1171005,580000, 
 收到其他与筹资活动有关的现金(万元),--,--,--,549,21579,31731,100488, 
 筹资活动现金流入小计(万元),554452,905186,628471,84039,497579,1218805,681308, 
 偿还债务支付的现金(万元),63835,1369455,1045845,250000,410000,71005,370000, 
 分配股利、利润或偿付利息所支付的现金(万元),837,91021,61946,13334,97139,11879,5007, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),25420,28926,27413,378,12891,180505,20600, 
 筹资活动现金流出小计(万元),90092,1489402,1135204,263711,520030,263389,395607, 
 筹资活动产生的现金流量净额(万元),464360,-584216,-506733,-179673,-22451,955416,285701, 
 汇率变动对现金及现金等价物的影响(万元),-86,-149,-64,-15,153,118,6, 
 现金及现金等价物净增加额(万元),213258,-552068,-283316,-325742,-947277,1136540,889638, 
 加:期初现金及现金等价物余额(万元),1501930,2053998,2053998,2053998,3001274,1864734,975095, 
 期末现金及现金等价物余额(万元),1715188,1501930,1770682,1728256,2053998,3001274,1864734, 
 净利润(万元),--,101999,57422,--,164786,268267,69142, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-1845,-2634,--,-51421,9034,75112, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,3753,1959,--,3843,3766,4348, 
 无形资产摊销(万元),--,1764,866,--,1485,1484,1725, 
 长期待摊费用摊销(万元),--,1094,591,--,1113,1280,1563, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-6841,5,--,27,8,-24, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,8188,-3292,--,-1642,13885,-15383, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
