报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),27098,94937,73683,49077,21212,63347,43648,54311,10727,46846,49949,42265,
营业收入(万元),27098,94937,73683,49077,21212,63347,43648,54311,10727,46846,49949,42265,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),21487,72772,51263,32640,14256,47970,33627,44248,9621,41714,46520,33734,
营业成本(万元),14976,48005,31975,19781,8669,24725,16122,26123,6281,25751,27785,23562,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),470,1960,1520,1017,393,1470,430,732,125,618,527,548,
销售费用(万元),424,1407,825,511,247,1079,773,727,171,562,748,646,
管理费用(万元),3376,17118,12369,7936,3497,14788,13790,12511,2098,10711,11799,5385,
财务费用(万元),53,2080,1035,882,463,1794,1223,2795,1646,3138,4722,4235,
资产减值损失(万元),2188,2201,3538,2513,987,4115,1288,1360,-700,934,940,-643,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),836,380,-297,-193,-37,206,274,169,-11,-359,3163,2,
对联营企业和合营企业的投资收益(万元),73,-390,--,-232,-57,167,--,113,--,-429,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),9896,25761,22331,16451,7350,15583,10296,10233,1096,4773,6592,8534,
营业外收入(万元),39,707,1063,726,23,7413,2234,11371,495,2417,1942,1653,
营业外支出(万元),5,176,11,10,0,1890,900,1576,9,707,28,81,
非流动资产处置损失(万元),--,--,11,10,--,1868,878,1566,--,706,--,--,
利润总额(万元),9930,26292,23383,17166,7372,21106,11630,20027,1581,6483,8505,10105,
所得税费用(万元),1265,2572,2610,1901,889,1171,632,2388,182,1381,1125,1763,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),8665,23720,20773,15266,6483,19934,10998,17639,1399,5102,7380,8341,
归属于母公司所有者的净利润(万元),8665,23720,20773,15266,6483,19934,10998,17639,1399,5102,7452,8341,
被合并方在合并前实现净利润(万元),--,16939,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,-72,--,
基本每股收益,0.24,0.77,0.73,0.55,0.23,0.72,0.4,0.64,0.05,0.18,0.27,0.3,
稀释每股收益,0.24,0.77,0.73,0.55,0.23,0.72,0.4,0.64,0.05,0.18,0.27,0.3,
