 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),77669,292170,158851,29254,279759,225249,55780,231375,243505,229475, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),3065,5885,4537,2145,4935,6425,3084,5108,3584,1815, 
 经营活动现金流入小计(万元),80733,298055,163388,31399,284694,231675,58864,236483,247088,231290, 
 购买商品、接受劳务支付的现金(万元),74408,162257,86985,46905,133123,128603,61214,127814,137770,116030, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),11780,38159,25080,9299,27049,21933,11037,20827,19372,12243, 
 支付的各项税费(万元),10826,17915,10345,7423,24647,24161,11655,21757,23940,18545, 
 支付的其他与经营活动有关的现金(万元),13359,69176,47420,9616,63316,45786,17614,46754,47576,40059, 
 经营活动现金流出小计(万元),110372,287507,169830,73243,248136,220484,101521,217151,228657,186877, 
 经营活动产生的现金流量净额(万元),-29639,10547,-6442,-41844,36558,11191,-42657,19332,18431,44413, 
 收回投资所收到的现金(万元),--,141463,86590,29700,117400,114570,54800,89800,55800,93500, 
 取得投资收益所收到的现金(万元),54,200,200,43,168,455,302,408,333,508, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,4,5,0,28,23,10,908,5,45, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),0,2430,2430,1140,134,--,--,145,10719,23731, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),54,144097,89224,30883,117730,115048,55111,91261,66857,117784, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),-1680,34489,21586,12369,26471,8102,4211,5850,6682,7128, 
 投资所支付的现金(万元),21536,150314,88000,26200,116900,90945,27100,118527,56300,93500, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
