报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),9273,37674,18452,8445,33936,31207,27851,24911,
营业收入(万元),9273,37674,18452,8445,33936,31207,27851,24911,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),8162,32868,15941,7417,29040,27347,24483,21281,
营业成本(万元),6130,23920,11690,5497,21337,20619,18243,15883,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),103,259,133,63,201,200,187,180,
销售费用(万元),1024,4860,2413,1081,4130,3666,3086,2362,
管理费用(万元),698,3131,1340,620,2973,2297,2536,2142,
财务费用(万元),174,655,292,142,313,512,383,561,
资产减值损失(万元),33,42,73,14,88,52,48,154,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),8,5,2,1,4,2,3,5,
对联营企业和合营企业的投资收益(万元),5,2,1,1,1,0,2,2,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),1333,5112,2701,1201,4896,3902,3372,3635,
营业外收入(万元),--,15,4,3,76,210,107,28,
营业外支出(万元),2,1,0,--,27,37,36,68,
非流动资产处置损失(万元),--,--,0,--,--,--,0,28,
利润总额(万元),1332,5126,2705,1204,4945,4075,3443,3595,
所得税费用(万元),224,672,422,198,797,596,687,550,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),1108,4454,2283,1007,4148,3479,2756,3045,
归属于母公司所有者的净利润(万元),1094,4452,2267,998,4143,3486,2764,3038,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),13,2,16,9,4,-7,-7,6,
基本每股收益,0.22,0.91,0.46,0.2,0.85,0.71,0.57,0.63,
稀释每股收益,0.22,0.91,0.46,0.2,0.85,0.71,0.57,0.63,
