 报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),45285,219268,43435,177185,96088,146766,129215,129859, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,432,--,305,42,59,1328,2014, 
 收到的其他与经营活动有关的现金(万元),2182,4257,2932,1377,1063,1182,1226,626, 
 经营活动现金流入小计(万元),47468,223958,46367,178867,97193,148007,131769,132499, 
 购买商品、接受劳务支付的现金(万元),37274,202778,44047,130558,66545,105604,78767,88501, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8056,21649,6191,17712,13370,17024,13391,12523, 
 支付的各项税费(万元),7579,13032,6102,12963,10190,15557,13095,11495, 
 支付的其他与经营活动有关的现金(万元),4089,15453,3478,12673,8142,10792,10688,9916, 
 经营活动现金流出小计(万元),56999,252913,59817,173906,98247,148976,115941,122435, 
 经营活动产生的现金流量净额(万元),-9531,-28955,-13450,4961,-1054,-969,15828,10064, 
 收回投资所收到的现金(万元),--,--,--,--,--,100,86,68, 
 取得投资收益所收到的现金(万元),5000,10281,--,7975,7975,3745,741,2081, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),28,2645,3,809,809,0,--,15, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,896,--, 
 收到的其他与投资活动有关的现金(万元),2000,14220,--,4111,997,50,3025,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),7028,27146,3,12895,9782,3895,4748,2164, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3144,24870,4667,12226,7485,9400,8219,8450, 
 投资所支付的现金(万元),--,--,--,196,196,500,294,575, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,14439,2392,--, 
 支付的其他与投资活动有关的现金(万元),--,1033,633,--,--,5613,1143,3000, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3144,25903,5299,12422,7681,29951,12048,12025, 
 投资活动产生的现金流量净额(万元),3884,1243,-5296,474,2101,-26056,-7300,-9861, 
 吸收投资收到的现金(万元),--,--,--,35000,35000,--,30008,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),44041,250691,58406,149359,107979,173670,114160,100189, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),6750,34796,7356,90622,82885,156826,150401,96114, 
 筹资活动现金流入小计(万元),50791,285487,65762,274981,225864,330496,294568,196302, 
 偿还债务支付的现金(万元),36582,209771,31065,179156,130993,160217,98132,100627, 
 分配股利、利润或偿付利息所支付的现金(万元),1416,4828,942,3995,3118,4775,4245,4000, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),2292,43023,16516,98409,95178,136581,198872,92557, 
 筹资活动现金流出小计(万元),40291,257622,48522,281560,229290,301574,301249,197185, 
 筹资活动产生的现金流量净额(万元),10501,27865,17240,-6579,-3426,28922,-6681,-882, 
 汇率变动对现金及现金等价物的影响(万元),331,397,1,-201,-595,-248,-12,123, 
 现金及现金等价物净增加额(万元),5184,550,-1506,-1346,-2975,1649,1835,-557, 
 加:期初现金及现金等价物余额(万元),4997,4446,4446,5793,5793,4144,2309,2865, 
 期末现金及现金等价物余额(万元),10181,4997,2940,4446,2818,5793,4144,2309, 
 净利润(万元),--,39835,--,20902,--,13249,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,247,--,2004,--,1116,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,17062,--,14317,--,12448,--,--, 
 无形资产摊销(万元),--,479,--,412,--,284,--,--, 
 长期待摊费用摊销(万元),--,182,--,133,--,97,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-2580,--,-291,--,6,--,--, 
 固定资产报废损失(万元),--,--,--,25,--,51,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),--,3818,--,6313,--,6509,--,--, 
 投资损失(万元),--,-17961,--,-15005,--,-9231,--,--, 
 递延所得税资产减少(万元),--,-714,--,-95,--,400,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-24916,--,7136,--,499,--,--, 
 经营性应收项目的减少(万元),--,-74707,--,-54028,--,-27958,--,--, 
 经营性应付项目的增加(万元),--,30301,--,23139,--,1561,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-28955,--,4961,--,-969,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),10181,4997,2940,4446,2818,5793,4144,2309, 
 现金的期初余额(万元),4997,4446,4446,5793,5793,4144,2309,2865, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),5184,550,-1506,-1346,-2975,1649,1835,-557, 

