报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),49906,220399,101888,48922,217564,225884,227186,
营业收入(万元),49906,220399,101888,48922,217564,225884,227186,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),43951,200070,91780,43828,201208,200109,204742,
营业成本(万元),23914,115250,51255,24168,101090,110548,116339,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),1909,7947,4023,2145,6673,5187,4685,
销售费用(万元),12896,52897,23915,11625,55357,52532,48981,
管理费用(万元),4264,20681,9851,4459,31311,26778,26738,
财务费用(万元),668,3212,1759,922,4930,4357,5390,
资产减值损失(万元),300,82,977,509,1846,707,2610,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,476,-191,104,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),5973,20946,10108,5094,16904,25989,22547,
营业外收入(万元),86,470,556,457,2369,1495,1013,
营业外支出(万元),31,564,149,60,870,526,1735,
非流动资产处置损失(万元),--,--,7,--,--,--,1327,
利润总额(万元),6029,20852,10514,5491,18403,26958,21825,
所得税费用(万元),860,2859,1544,674,3978,6243,5418,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),5169,17993,8970,4817,14425,20715,16408,
归属于母公司所有者的净利润(万元),4581,15947,8390,4669,13859,20367,16469,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),588,2046,580,148,566,348,-61,
基本每股收益,0.05,0.21,0.11,0.06,0.18,0.27,0.22,
稀释每股收益,0.05,0.21,--,0.06,0.18,0.27,--,
