报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),12770,48027,29002,16717,7092,40806,24823,14387,37089,36072,35305,26187,
营业收入(万元),12770,48027,29002,16717,7092,40806,24823,14387,37089,36072,35305,26187,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),11511,42077,25579,15091,6249,35939,21618,13121,32414,32218,30844,22914,
营业成本(万元),8790,31748,19098,11172,4983,28132,16909,10061,24931,24846,24338,18004,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),68,381,193,146,60,403,179,159,505,410,373,363,
销售费用(万元),892,4623,3078,1869,775,3601,2401,1515,3257,3241,2942,2035,
管理费用(万元),1152,3918,2616,1879,771,2896,1841,1233,2826,2590,2362,1948,
财务费用(万元),7,110,95,70,34,120,66,30,149,241,235,349,
资产减值损失(万元),601,1297,499,-45,-374,787,223,123,746,890,595,215,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),182,282,--,--,--,10,10,10,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1508,6576,3424,1627,843,4876,3215,1276,4675,3854,4461,3273,
营业外收入(万元),43,163,439,396,76,794,315,231,396,449,387,185,
营业外支出(万元),3,60,39,37,20,4,4,4,6,9,10,3,
非流动资产处置损失(万元),--,--,--,0,--,1,--,1,0,0,1,--,
利润总额(万元),1548,6679,3823,1985,898,5666,3526,1503,5065,4294,4837,3455,
所得税费用(万元),386,1391,822,395,166,859,529,216,803,718,750,504,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1162,5288,3002,1590,732,4807,2997,1287,4262,3576,4087,2951,
归属于母公司所有者的净利润(万元),1162,5288,3002,1590,732,4807,2997,1287,4256,3557,4055,2932,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,6,19,32,20,
基本每股收益,0.12,0.6,0.36,0.21,0.1,0.64,0.4,0.17,0.57,0.47,0.54,0.43,
稀释每股收益,0.12,0.6,0.36,0.21,0.1,0.64,0.4,0.17,0.57,0.47,0.54,0.43,
