 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),24205,96396,71604,45732,23115,93481,80371,22887,66944,67655,66214, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1020,2576,2175,1037,566,2331,1896,355,3510,1703,1841, 
 收到的其他与经营活动有关的现金(万元),181,1337,1136,799,1211,2940,1330,408,1673,509,5898, 
 经营活动现金流入小计(万元),25406,100309,74915,47569,24892,98751,83596,23650,72127,69867,73952, 
 购买商品、接受劳务支付的现金(万元),19582,55064,38195,24272,19019,45981,40865,12489,38483,35332,47161, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7022,23178,17353,11881,6217,19485,14750,5444,16932,13358,12673, 
 支付的各项税费(万元),1017,4849,3989,2559,1107,6409,5025,1283,3146,2715,3556, 
 支付的其他与经营活动有关的现金(万元),2733,8366,7642,4665,1998,10403,6563,2217,12091,10418,6589, 
 经营活动现金流出小计(万元),30354,91457,67179,43377,28341,82277,67202,21435,70652,61823,69979, 
 经营活动产生的现金流量净额(万元),-4948,8852,7736,4192,-3449,16474,16394,2216,1475,8044,3973, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),588,279,200,200,200,1,1,1046,328,--,18, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),12,399,5,5,--,33,21,20,17,35,30, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),31000,1548,1322,1246,--,1100,1008,1000,366,934,161, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),31599,2227,1527,1451,200,1134,1030,2065,710,969,209, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1999,11254,8143,6963,2795,10744,5739,883,6259,7999,6831, 
 投资所支付的现金(万元),--,50,--,--,--,--,10,--,126,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,4997,3497,3497,3000,2572,572,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),31000,31136,50,50,--,1200,1180,1062,40,133,1, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),32999,47437,11690,10511,5795,14516,7502,1946,6425,8132,6833, 
 投资活动产生的现金流量净额(万元),-1400,-45210,-10163,-9059,-5595,-13382,-6472,120,-5715,-7163,-6624, 
 吸收投资收到的现金(万元),--,60987,67230,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),25015,55374,46537,33340,17097,65987,43379,19782,53899,46045,48632, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,3189,2727,2662,--,--,--,575,1975,--,2752, 
 筹资活动现金流入小计(万元),25015,119550,116493,36002,17097,65987,43379,20357,55874,46045,51384, 
 偿还债务支付的现金(万元),12726,71241,42712,28740,7922,60931,44120,16262,45081,47335,45312, 
 分配股利、利润或偿付利息所支付的现金(万元),596,5360,5053,4300,667,4562,2992,1218,2507,3879,4036, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),573,--,4435,100,1,2961,294,2513,2000,1125,--, 
 筹资活动现金流出小计(万元),13895,76601,52199,33140,8591,68455,47405,19993,49587,52339,49348, 
 筹资活动产生的现金流量净额(万元),11120,42949,64294,2862,8507,-2467,-4026,364,6286,-6294,2035, 
 汇率变动对现金及现金等价物的影响(万元),-246,-178,-420,-313,-11,466,-126,-49,264,59,-503, 
 现金及现金等价物净增加额(万元),4527,6412,61447,-2319,-549,1091,5770,2650,2311,-5354,-1118, 
 加:期初现金及现金等价物余额(万元),11684,5272,5272,5272,5272,4181,4181,4181,1870,7225,8343, 
 期末现金及现金等价物余额(万元),16211,11684,66719,2953,4723,5272,9951,6831,4181,1870,7225, 
 净利润(万元),--,10018,--,7537,--,12234,--,--,5035,2414,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1766,--,157,--,274,--,--,211,415,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,7236,--,3482,--,6071,--,--,4940,4071,--, 
 无形资产摊销(万元),--,410,--,164,--,223,--,--,192,128,--, 
 长期待摊费用摊销(万元),--,146,--,31,--,79,--,--,53,19,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,588,--,76,--,58,--,--,90,41,--, 
 固定资产报废损失(万元),--,102,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,-134,--,34,--,-196,--,--,31,299,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,3476,--,1771,--,1268,--,--,1367,2063,--, 
 投资损失(万元),--,-256,--,-200,--,64,--,--,-328,7,--, 
 递延所得税资产减少(万元),--,-192,--,-78,--,-6,--,--,-57,92,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,-31,--, 
 存货的减少(万元),--,-12483,--,-2062,--,-3813,--,--,-8379,-1822,--, 
 经营性应收项目的减少(万元),--,-7944,--,-4578,--,-1216,--,--,-13739,-9172,--, 
 经营性应付项目的增加(万元),--,6118,--,-2141,--,1435,--,--,12058,9520,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,8852,--,4192,--,16474,--,--,1475,8044,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),16211,11684,66719,2953,4723,5272,9951,6831,4181,1870,7225, 
 现金的期初余额(万元),11684,5272,5272,5272,5272,4181,4181,4181,1870,7225,8343, 
