报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),29067,6234,6046,3456,2025,2591,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),10,--,--,288,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),1185,312,199,65,583,107,
应收账款(万元),7197,7508,6620,6924,6024,5492,
预付款项(万元),304,413,431,150,45,57,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),334,203,197,240,434,179,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),5702,5948,4580,4501,4973,3906,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),--,--,65,17,588,164,
流动资产合计(万元),43800,20618,18138,15642,14670,12498,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,16688,--,14770,14091,--,
累计折旧(万元),--,5974,--,5039,3969,--,
固定资产净值(万元),--,10714,--,9732,10122,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),10702,10714,10069,9732,10122,10373,
在建工程(万元),--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),2199,2165,2191,2217,2268,2320,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),134,149,124,77,111,145,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),118,121,110,85,98,112,
其他非流动资产(万元),664,201,538,257,50,261,
非流动资产合计(万元),13818,13350,13033,12367,12649,13210,
资产总计(万元),57617,33967,31170,28009,27319,25708,
短期借款(万元),3100,3100,3100,3250,2000,1000,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),2015,2759,2773,2437,--,--,
应付账款(万元),3841,4842,4511,3737,4056,4098,
预收账款(万元),8,15,30,26,27,22,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),518,752,510,722,672,539,
应交税费(万元),327,311,253,237,235,177,
应付利息(万元),4,4,3,3,3,11,
应付股利(万元),--,--,--,--,--,1080,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),1771,7,189,161,9725,11621,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,21,73,--,--,--,
流动负债合计(万元),11584,11811,11443,10572,16719,18548,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,
递延所得税负债(万元),1,--,--,50,--,--,
其他非流动负债(万元),--,--,0,--,--,--,
非流动负债合计(万元),1,0,0,50,0,0,
负债合计(万元),11585,11811,11443,10622,16719,18548,
实收资本(或股本)(万元),8888,6666,6666,6666,1143,1609,
资本公积(万元),26123,5462,5462,5462,94,--,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),771,771,351,351,897,897,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),10270,9271,7255,4910,8449,4671,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),46032,22157,19727,17386,10600,7160,
少数股东权益(万元),--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),46032,22157,19727,17386,10600,7160,
负债和所有者权益(或股东权益)总计(万元),57617,33967,31170,28009,27319,25708,		
