报告日期,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),181550,185187,50537,177398,133655,90395,
营业收入(万元),181550,185187,50537,177398,133655,90395,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),115743,121309,31217,117912,94917,67483,
营业成本(万元),45287,47140,13496,46918,36693,27751,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),2876,2647,790,2684,1850,1184,
销售费用(万元),53075,53235,13921,52301,43135,28993,
管理费用(万元),13302,16977,2645,14260,10817,7839,
财务费用(万元),-2413,-653,-53,137,210,160,
资产减值损失(万元),3617,1963,418,1612,2213,1557,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),92,1164,317,2037,503,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),65899,65042,19637,61524,39241,22912,
营业外收入(万元),4222,2839,16,288,738,733,
营业外支出(万元),153,188,--,85,164,15,
非流动资产处置损失(万元),48,16,--,5,2,10,
利润总额(万元),69968,67693,19653,61727,39815,23629,
所得税费用(万元),17734,17370,4950,15479,10735,6127,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),52234,50323,14702,46248,29079,17503,
归属于母公司所有者的净利润(万元),52234,50323,14702,46248,29079,17503,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),0,--,--,--,--,--,
基本每股收益,1.54,1.48,0.43,1.36,0.88,--,
稀释每股收益,1.54,1.48,0.43,1.36,0.88,--,
