报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),18015,105453,75111,47446,19347,77424,52121,33073,61972,38064,22873,10211,
营业收入(万元),18015,105453,75111,47446,19347,77424,52121,33073,61972,38064,22873,10211,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),14842,90323,65144,39404,15854,62540,42694,26331,50276,28997,18085,8358,
营业成本(万元),12739,75471,56278,34013,13521,53351,36209,22186,42720,23338,14191,6473,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),63,754,537,267,86,793,735,705,1529,1197,723,325,
销售费用(万元),292,2500,1853,1153,538,2338,1243,749,1526,1281,1107,657,
管理费用(万元),1660,7953,4333,2815,1313,4221,2937,1934,2871,2362,1591,665,
财务费用(万元),7,639,601,425,200,538,336,189,324,494,150,10,
资产减值损失(万元),82,3007,1542,731,196,1299,1233,567,1307,325,322,228,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),19,51859,--,--,--,--,--,--,--,7,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3561,68031,10366,8042,3493,14883,9426,6741,11696,9075,4788,1853,
营业外收入(万元),13,470,83,73,58,603,267,82,854,58,95,20,
营业外支出(万元),1,107,71,15,14,35,34,25,50,28,11,1,
非流动资产处置损失(万元),--,--,3,--,--,2,3,--,9,--,3,--,
利润总额(万元),3573,68394,10378,8100,3537,15451,9659,6798,12501,9104,4872,1872,
所得税费用(万元),873,16750,2473,1939,850,3798,2408,1715,3162,2273,1228,475,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2700,51644,7905,6161,2687,11653,7251,5084,9339,6831,3644,1397,
归属于母公司所有者的净利润(万元),2707,51645,7927,6136,2684,11636,7248,5071,9336,6831,3643,1395,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,33,
少数股东损益(万元),-8,-1,-22,26,3,18,3,12,3,0,0,2,
基本每股收益,0.28,6.46,1.02,0.85,0.37,1.62,0.98,0.7,1.3,1.11,0.61,0.23,
稀释每股收益,--,--,1.02,--,--,1.62,0.98,--,1.3,1.11,0.61,0.23,
