报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),20543,68318,46851,3830,40302,48895,38067,11126,
营业收入(万元),20543,68318,46851,3830,40302,48895,38067,11126,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),18822,58543,38224,5985,35022,35067,22713,8433,
营业成本(万元),11983,34744,22919,2025,20218,22375,16707,5698,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),469,440,379,74,335,266,92,69,
销售费用(万元),2062,8683,5038,1496,4541,3273,1173,410,
管理费用(万元),3160,12235,7802,2376,10482,9538,4626,1773,
财务费用(万元),1369,1824,1140,188,-1060,-563,118,263,
资产减值损失(万元),-220,618,947,-175,506,178,-4,218,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),76,110,61,41,42,481,62,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),2219,10763,9480,-1556,5322,14308,15416,2693,
营业外收入(万元),--,19,13,--,410,279,54,5,
营业外支出(万元),3,13,31,--,55,6,3,1,
非流动资产处置损失(万元),--,--,19,--,38,1,2,--,
利润总额(万元),2216,10769,9462,-1556,5677,14582,15467,2696,
所得税费用(万元),211,1202,1128,-17,872,1877,2180,364,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),2005,9567,8334,-1539,4805,12705,13287,2332,
归属于母公司所有者的净利润(万元),2005,9567,8334,-1539,4805,12705,13287,2332,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,
基本每股收益,0.13,0.8,0.69,-0.13,0.4,1.06,1.19,0.21,
稀释每股收益,0.13,0.8,0.69,-0.13,0.4,1.06,1.19,0.21,
