 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),59273,223766,163449,106902,51345,184382,87125,41935,154139,135732,117553, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),4548,10739,7090,4294,1744,7673,4142,2190,8134,7095,6967, 
 收到的其他与经营活动有关的现金(万元),1336,4782,4394,1383,589,3353,2818,157,8411,7175,2494, 
 经营活动现金流入小计(万元),65156,239287,174933,112579,53679,195408,94086,44281,170684,150002,127015, 
 购买商品、接受劳务支付的现金(万元),34470,110234,79049,51653,25884,80242,33421,20624,77982,69298,56161, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12578,34672,25348,17167,9053,27466,13231,6662,20766,16118,13978, 
 支付的各项税费(万元),5040,20546,15596,10524,5790,19999,10055,4204,18507,14751,12388, 
 支付的其他与经营活动有关的现金(万元),3574,11781,9194,6493,3106,12502,9161,3567,11555,14775,14262, 
 经营活动现金流出小计(万元),55661,177233,129187,85837,43832,140209,65869,35057,128811,114942,96789, 
