报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),93102,251759,193636,124162,66542,228081,179283,211313,118149,92184,
营业收入(万元),93102,251759,193636,124162,66542,228081,179283,211313,118149,92184,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),69854,216281,158862,101550,52287,189157,140935,170848,106620,90248,
营业成本(万元),62364,191380,141825,91081,46911,167154,125560,150591,91100,73755,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),4361,11740,9102,5834,3150,10896,8530,10231,5691,5763,
销售费用(万元),1532,6888,3913,2046,994,4361,2715,3408,3128,5256,
管理费用(万元),1482,5531,3360,2153,1030,5769,3500,3977,2996,2556,
财务费用(万元),105,713,644,425,197,874,630,2153,3595,2895,
资产减值损失(万元),11,30,19,12,5,103,-1,487,109,23,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),668,1808,1120,717,199,1463,825,1734,405,95,
对联营企业和合营企业的投资收益(万元),247,1165,687,431,74,726,248,1125,-14,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),24367,38844,36901,23840,14700,40386,39172,42199,11933,2032,
营业外收入(万元),175,4458,2996,2362,322,6203,4598,1855,3114,1183,
营业外支出(万元),19,41,39,27,10,79,72,156,75,95,
非流动资产处置损失(万元),--,--,5,1,--,2,1,49,5,3,
利润总额(万元),24524,43260,39858,26174,15013,46510,43699,43897,14972,3120,
所得税费用(万元),5657,10206,9350,6090,3492,10908,10638,9385,3090,999,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),18866,33054,30508,20084,11521,35602,33061,34512,11882,2121,
归属于母公司所有者的净利润(万元),18866,33054,30508,20084,11521,35602,33061,34437,11852,2048,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,75,30,73,
基本每股收益,0.42,0.8,0.76,0.5,0.29,0.89,0.83,0.86,--,--,
稀释每股收益,0.42,0.8,0.76,0.5,0.29,0.89,0.83,0.86,--,--,
