报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),27995,130644,61103,29267,103490,102101,98691,
营业收入(万元),27995,130644,61103,29267,103490,102101,98691,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),26652,119741,56647,27538,96248,95743,96793,
营业成本(万元),20000,91990,43031,21161,70689,71576,76837,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),269,1488,683,276,1435,772,556,
销售费用(万元),2049,8932,4487,2136,7743,6884,4505,
管理费用(万元),2987,14493,6774,3054,13679,13037,10190,
财务费用(万元),1269,2963,1378,827,1701,2880,4417,
资产减值损失(万元),79,-126,293,84,1001,594,289,
公允价值变动收益(万元),60,--,--,--,--,--,--,
投资收益(万元),-5,-23,-5,--,685,2508,-267,
对联营企业和合营企业的投资收益(万元),--,-23,-5,--,--,--,-294,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),2404,14800,5552,2621,7917,8249,1632,
营业外收入(万元),28,58,91,23,2404,1044,1211,
营业外支出(万元),5,122,89,12,358,163,413,
非流动资产处置损失(万元),--,--,53,--,--,--,168,
利润总额(万元),2428,14736,5554,2632,9963,9130,2430,
所得税费用(万元),456,2524,922,436,1675,1205,231,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),1972,12211,4631,2196,8288,7925,2199,
归属于母公司所有者的净利润(万元),1971,12177,4630,2203,8284,7906,2177,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),1,35,1,-6,4,19,21,
基本每股收益,0.26,1.62,0.62,0.29,1.11,1.62,--,
稀释每股收益,0.26,1.62,0.62,0.29,1.11,1.62,--,
