报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),15502,59401,44170,27608,12870,46266,34387,39183,29889,20265,
营业收入(万元),15502,59401,44170,27608,12870,46266,34387,39183,29889,20265,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),7854,28156,20349,12844,6164,22196,15693,17971,14137,9495,
营业成本(万元),2651,10060,7722,4792,2331,8346,5957,7432,5943,4198,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),265,1241,901,647,207,896,580,568,422,339,
销售费用(万元),2077,7220,4682,2882,1271,5297,3416,4174,2816,2034,
管理费用(万元),2526,8794,6446,4256,1972,7699,5651,6264,4303,2911,
财务费用(万元),-2,322,374,177,14,-343,-86,-11,51,46,
资产减值损失(万元),337,519,224,90,369,301,175,-455,603,-34,
公允价值变动收益(万元),67,129,--,--,--,--,--,--,-15,15,
投资收益(万元),326,482,354,215,128,228,146,180,232,103,
对联营企业和合营企业的投资收益(万元),--,-24,-14,-16,--,-5,-9,-2,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),8421,35093,24905,14979,6834,24298,18840,21392,15968,10889,
营业外收入(万元),6,16,107,495,204,1860,1477,1004,713,582,
营业外支出(万元),32,76,46,21,39,6,3,14,45,18,
非流动资产处置损失(万元),--,--,46,21,--,6,3,2,40,--,
利润总额(万元),8394,35033,24966,15453,6999,26152,20314,22381,16637,11453,
所得税费用(万元),1395,4974,3503,2093,1240,3959,3213,3511,2815,1793,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),6999,30060,21463,13360,5759,22193,17101,18870,13822,9660,
归属于母公司所有者的净利润(万元),6859,29556,21045,13168,5647,21933,16869,18851,13929,9681,
被合并方在合并前实现净利润(万元),--,--,--,--,--,-26,--,-32,-412,--,
少数股东损益(万元),140,504,418,192,112,260,232,20,-107,-21,
基本每股收益,0.17,0.8,0.54,0.37,0.16,0.61,0.48,0.59,--,--,
稀释每股收益,0.17,0.8,0.54,0.37,0.16,0.61,0.48,0.59,--,--,
