报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,
营业总收入(万元),256897,965412,652642,411945,207865,861039,638046,895876,913129,
营业收入(万元),--,--,--,--,--,--,--,--,--,
利息收入(万元),415233,1432367,1033193,667405,326913,1287197,961681,1436339,1449638,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),9190,53727,41344,27552,14593,64643,50891,48776,38786,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),288,1420,2355,1392,241,1130,532,1378,1425,
营业总成本(万元),147462,501022,314794,212150,102183,550092,361022,564004,458847,
营业成本(万元),--,--,--,--,--,--,--,--,--,
利息支出(万元),209819,686064,494472,322844,151699,536482,396269,639810,612626,
手续费及佣金支出(万元),2916,14456,11252,7405,3731,18154,13605,16550,14828,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,4407,--,
营业税金及附加(万元),1519,7191,5068,3699,1710,23172,20000,60225,62853,
销售费用(万元),63265,272877,189544,117988,60974,264930,183971,248589,262659,
管理费用(万元),--,--,--,--,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,
资产减值损失(万元),82678,220954,120182,90463,39499,261991,157052,250783,133336,
公允价值变动收益(万元),-496,871,238,1129,107,-1500,-866,943,1262,
投资收益(万元),45649,169364,81020,44719,20656,62363,34463,63206,48652,
对联营企业和合营企业的投资收益(万元),2654,8959,6603,4299,2194,8326,6159,6977,7060,
汇兑收益(万元),-232,557,215,-2,245,1842,1219,1594,820,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),109435,464390,337848,199795,105682,310946,277023,331871,454282,
营业外收入(万元),80,1921,2213,138,105,9092,3178,26814,4240,
营业外支出(万元),75,1341,649,562,166,1998,1593,1783,936,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,
利润总额(万元),109440,464970,339411,199371,105621,318040,278608,356902,457586,
所得税费用(万元),6313,73688,58270,34169,19866,59734,57744,74784,102351,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),103127,391282,281141,165202,85755,258306,220864,282118,355235,
归属于母公司所有者的净利润(万元),103163,390858,280998,165227,85648,257749,220555,281619,354814,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-36,424,143,-25,106,558,310,499,421,
基本每股收益,0.3,1.2,0.86,0.51,0.26,0.79,0.68,0.87,1.09,
稀释每股收益,0.3,1.2,0.86,0.51,0.26,0.79,0.68,0.87,1.09,
