 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),10694,76584,45127,33336,11598,62584,36716,19593,46143,36393,39769, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2742,8747,10757,6340,2144,7391,8701,5061,11767,5083,9731, 
 经营活动现金流入小计(万元),13436,85331,55884,39676,13741,69975,45418,24654,57910,41476,49500, 
 购买商品、接受劳务支付的现金(万元),6726,29899,20698,12145,8228,24330,16651,8058,14896,12298,13004, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4461,26633,13808,8617,3711,18676,11314,7500,16725,13195,11999, 
 支付的各项税费(万元),6669,11700,9361,7450,4398,7186,5429,4299,6791,4779,4686, 
 支付的其他与经营活动有关的现金(万元),4557,17716,17722,10449,1922,11313,10180,6127,17105,8563,16837, 
 经营活动现金流出小计(万元),22414,85948,61589,38662,18260,61505,43575,25983,55517,38835,46526, 
 经营活动产生的现金流量净额(万元),-8978,-617,-5706,1014,-4518,8470,1843,-1330,2393,2640,2973, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,11710,8150,50, 
 取得投资收益所收到的现金(万元),129,--,--,--,--,--,--,--,46,59,105, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,504,313,200,109,2189,2157,1524,0,9,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),29300,1093,1286,293,--,996,972,493,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),29434,1596,1600,492,109,3185,3128,2017,11756,8218,156, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),948,7491,5278,2368,1467,4924,4818,4644,6586,911,4039, 
 投资所支付的现金(万元),--,2260,1260,1260,1020,550,540,--,11200,8063,825, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,300,--,--,--,--,--,166, 
 支付的其他与投资活动有关的现金(万元),71500,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),72448,9751,6538,3628,2787,5474,5358,4644,17786,8974,5030, 
 投资活动产生的现金流量净额(万元),-43015,-8155,-4938,-3135,-2678,-2289,-2230,-2628,-6030,-756,-4875, 
 吸收投资收到的现金(万元),--,69710,--,--,--,--,--,--,1050,4200,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,6000,6000,--,--,11800,11400,11000,5000,4000,5780, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
