报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),49444,219773,95365,45646,261499,279180,320949,
营业收入(万元),49444,219773,95365,45646,261499,279180,320949,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),21755,97725,45589,21365,136403,140036,146608,
营业成本(万元),10473,47376,21996,10604,68176,75447,84023,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),706,4508,1794,959,4726,3730,4563,
销售费用(万元),4036,13608,5934,3058,14384,12819,11571,
管理费用(万元),9337,38233,18086,8436,51006,53830,52042,
财务费用(万元),-2851,-6750,-2819,-1608,-3997,-6003,-5890,
资产减值损失(万元),54,749,598,-86,2108,213,298,
公允价值变动收益(万元),--,-4118,-4118,-4118,-2498,6616,--,
投资收益(万元),384,3494,3355,3274,14064,655,1119,
对联营企业和合营企业的投资收益(万元),371,159,26,-8,322,1070,664,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),33082,135546,54763,26567,136511,146377,175460,
营业外收入(万元),2,289,289,5,16109,15527,18652,
营业外支出(万元),1,169,125,1,64,93,102,
非流动资产处置损失(万元),--,--,21,--,--,--,75,
利润总额(万元),33083,135666,54928,26570,152556,161811,194010,
所得税费用(万元),4709,19010,7600,3603,24837,23891,28707,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),28374,116656,47328,22968,127719,137920,165303,
归属于母公司所有者的净利润(万元),27705,114805,46230,22480,126337,132665,157978,
被合并方在合并前实现净利润(万元),--,--,--,--,840,19517,16998,
少数股东损益(万元),669,1851,1098,488,1382,5255,7324,
基本每股收益,0.48,2.07,0.83,0.41,2.46,--,--,
稀释每股收益,0.48,2.07,0.83,0.41,2.46,--,--,
