报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
营业总收入(万元),68096,241919,105221,61712,221233,77702,147092,68869,80002,44220,
营业收入(万元),68096,241919,105221,61712,221233,77702,147092,68869,80002,44220,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),56911,205192,88529,53200,185412,65453,127792,59959,74047,41308,
营业成本(万元),51622,185608,80688,48489,165828,57993,112711,52977,62791,35895,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),393,1409,647,261,1362,172,680,190,323,130,
销售费用(万元),1794,4373,2094,1602,3972,2761,4949,2930,2922,1182,
管理费用(万元),3261,12842,6153,3456,11547,4704,7614,3368,6831,4136,
财务费用(万元),128,841,513,341,155,272,423,153,185,-122,
资产减值损失(万元),-289,119,-1566,-949,2549,-450,1416,342,995,88,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-115,73,83,-13,336,146,144,-15,147,-60,
对联营企业和合营企业的投资收益(万元),-115,73,83,-13,336,146,140,-20,92,-68,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),11892,38053,17281,8903,36157,12395,19441,8894,6102,2851,
营业外收入(万元),44,140,161,13,1089,181,516,93,661,667,
营业外支出(万元),4,206,66,95,84,1,40,7,48,9,
非流动资产处置损失(万元),--,--,47,--,--,0,--,4,11,2,
利润总额(万元),11931,37987,17376,8821,37162,12574,19918,8980,6715,3509,
所得税费用(万元),1764,5655,2602,1366,5193,2258,2275,1146,813,561,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),10167,32331,14773,7455,31969,10316,17643,7834,5902,2949,
归属于母公司所有者的净利润(万元),8690,27700,12298,6314,27231,8755,16592,7314,6391,3198,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1478,4631,2476,1141,4738,1561,1051,520,-488,-250,
基本每股收益,0.24,0.75,0.33,0.17,0.74,0.55,0.46,0.49,0.51,0.26,
稀释每股收益,--,--,0.33,--,--,0.55,--,0.49,0.51,0.26,
