报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),5005,27920,20544,12625,5126,28170,20537,12382,29743,29566,30301,28244,
营业收入(万元),5005,27920,20544,12625,5126,28170,20537,12382,29743,29566,30301,28244,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),4218,21859,15914,9973,4114,20867,15067,9199,21354,21001,21030,19978,
营业成本(万元),3238,17191,12476,7619,3078,16090,11669,6984,16681,16591,17012,16260,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),64,366,261,173,74,358,190,117,264,262,277,258,
销售费用(万元),288,1458,1071,686,305,1548,1121,714,1535,1540,1336,1153,
管理费用(万元),660,2834,2102,1430,667,2742,2052,1342,2875,2563,2615,2323,
财务费用(万元),-29,-70,-53,-35,-8,-32,-25,-18,-40,-105,-218,-49,
资产减值损失(万元),-3,79,57,100,--,160,60,60,38,150,7,33,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),51,1184,539,135,70,232,165,103,243,163,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),960,7954,5713,3145,1226,7535,6256,3286,8631,8729,9271,8266,
营业外收入(万元),7,398,397,296,17,994,86,389,948,1030,1134,953,
营业外支出(万元),0,0,1,1,0,4,3,1,23,21,34,34,
非流动资产处置损失(万元),--,--,1,1,--,--,1,1,--,--,--,--,
利润总额(万元),966,8352,6109,3440,1243,8525,6340,3674,9556,9738,10371,9186,
所得税费用(万元),148,1234,938,531,194,1270,961,581,1447,1479,1614,1409,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),818,7119,5172,2910,1049,7255,5379,3093,8110,8259,8757,7777,
归属于母公司所有者的净利润(万元),818,7119,5172,2910,1049,7255,5379,3093,8110,8259,8757,7777,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.04,0.38,0.29,0.18,0.07,0.47,0.34,0.2,0.52,0.53,0.56,0.5,
稀释每股收益,0.04,0.38,0.29,0.18,0.07,0.47,0.34,0.2,0.52,0.53,0.56,0.5,
