 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,2903,--,21660,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),96597,401868,286498,182240,82165,516596,324263,307742,758165,299921, 
 拆入资金净增加额(万元),--,--,--,--,--,81000,--,27000,--,110000, 
 回购业务资金净增加额(万元),222966,--,18698,125248,--,370746,95860,304158,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),214135,51549,100916,88382,98173,28101,72872,481262,688755,774424, 
 经营活动现金流入小计(万元),637127,453416,409016,455955,264229,1305125,887146,1449556,2462596,1718013, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),15342,53911,42716,27977,16676,72411,51642,52252,104432,28571, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),38808,128560,103629,86706,66389,122566,99970,100857,119730,81785, 
 支付的各项税费(万元),11652,56872,51828,31138,15580,95553,73562,72744,102869,37384, 
 支付的其他与经营活动有关的现金(万元),31439,448843,408941,217352,194152,342966,359614,742318,1048464,590411, 
 经营活动现金流出小计(万元),292300,1801368,955465,643575,644514,1406886,1574882,1601921,2230623,1432380, 
 经营活动产生的现金流量净额(万元),344827,-1347952,-546449,-187620,-380285,-101761,-687736,-152365,231973,285633, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,6279, 
 取得投资收益所收到的现金(万元),6590,--,--,--,--,4000,4000,4000,5400,1620, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),9,37,64,54,--,31,19,38,36714,43, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6600,37,64,54,0,4031,4019,4038,42114,7941, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1686,15730,9015,5122,1353,9390,6141,7345,12657,27769, 
 投资所支付的现金(万元),--,5765,3234,2079,--,--,--,4790,7664,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,2864,--,1900, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,1645941,9378, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1686,21495,12249,7201,1353,9390,6141,14998,1666262,39047, 
 投资活动产生的现金流量净额(万元),4914,-21458,-12185,-7146,-1353,-5359,-2122,-10960,-1624148,-31105, 
 吸收投资收到的现金(万元),--,396292,460,460,--,50000,50000,50000,214837,388100, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,460,460,460,--,--,--,--,176097,700, 
 取得借款收到的现金(万元),15866,139144,80040,63756,--,54565,45244,35077,24089,18818, 
 发行债券收到的现金(万元),725316,872441,689384,232985,148390,1421705,1296850,720000,1644515,752112, 
 收到其他与筹资活动有关的现金(万元),100000,200000,110000,--,--,140000,80000,93427,812198,335000, 
 筹资活动现金流入小计(万元),841182,1607878,879884,297201,148390,1666270,1472094,898503,2695640,1494030, 
 偿还债务支付的现金(万元),867915,338078,536901,255018,66906,1521752,932004,599555,701059,465750, 
 分配股利、利润或偿付利息所支付的现金(万元),25624,78274,65615,58019,17076,72878,46198,41598,100121,22238, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,2566,--,--,--,--,--,97,--, 
 支付其他与筹资活动有关的现金(万元),110000,339826,197269,120089,3275,488934,487813,455528,625552,158700, 
 筹资活动现金流出小计(万元),1003540,756178,799785,433125,87257,2083564,1466015,1096681,1426733,646688, 
 筹资活动产生的现金流量净额(万元),-162358,851700,80100,-135924,61133,-417294,6079,-198177,1268907,847342, 
 汇率变动对现金及现金等价物的影响(万元),-1718,-3881,-2273,-2228,-743,2941,599,791,1898,-110, 
 现金及现金等价物净增加额(万元),185665,-521592,-480808,-332918,-321248,-521473,-683179,-360711,-121370,1101759, 
 加:期初现金及现金等价物余额(万元),1126073,1647664,1647664,1647664,1647664,2169137,2169137,3815079,2290508,1188749, 
