 报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),181820,664111,151628,597039,577399,212177,341866,312360,272664, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2,467,71,1088,388,251,1589,824,1830, 
 收到的其他与经营活动有关的现金(万元),640,2316,157,2873,1421,963,3842,1893,2465, 
 经营活动现金流入小计(万元),182462,666894,151856,601000,579209,213391,347297,315077,276959, 
 购买商品、接受劳务支付的现金(万元),132010,482294,117687,438072,431723,150006,283245,234962,213761, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),15230,57730,12225,49109,43368,8634,15871,14105,11209, 
 支付的各项税费(万元),12338,28864,7538,34565,29089,11059,15191,14159,15136, 
 支付的其他与经营活动有关的现金(万元),7843,29491,6098,25039,19553,7759,13226,13835,16380, 
 经营活动现金流出小计(万元),167420,598379,143548,546785,523732,177458,327533,277061,256486, 
 经营活动产生的现金流量净额(万元),15042,68515,8308,54214,55477,35933,19764,38016,20473, 
 收回投资所收到的现金(万元),--,--,5553,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),0,62,0,1061,2561,--,55,773,1005, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),308,-19,64,50,339,21,-28,5,29, 
 处置子公司及其他营业单位收到的现金净额(万元),--,5553,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),308,5595,5617,1111,2900,21,26,778,1034, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),19650,47059,13134,42559,37769,14121,33255,30665,34334, 
 投资所支付的现金(万元),--,--,--,69786,--,--,--,2276,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),19650,47059,13134,112345,37769,14121,33255,32941,34334, 
 投资活动产生的现金流量净额(万元),-19341,-41463,-7517,-111234,-34869,-14100,-33229,-32163,-33300, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,1050,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),39189,108409,24000,151311,77379,38918,99430,69704,65918, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),39189,108409,24000,151311,77379,38918,99430,70754,65918, 
 偿还债务支付的现金(万元),18930,109911,28835,70938,86666,33823,90982,57423,44052, 
 分配股利、利润或偿付利息所支付的现金(万元),1549,23957,1891,16178,3621,12394,8668,11594,2754, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,0,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),20479,133868,30726,87116,90287,46216,99650,69017,46806, 
 筹资活动产生的现金流量净额(万元),18711,-25460,-6726,64195,-12908,-7298,-220,1737,19112, 
 汇率变动对现金及现金等价物的影响(万元),-692,-206,604,731,-1537,512,-674,9,-1329, 
 现金及现金等价物净增加额(万元),13720,1386,-5331,7906,6163,15047,-14359,7598,4957, 
 加:期初现金及现金等价物余额(万元),45914,44528,44528,36622,30459,13532,27890,20292,15335, 
 期末现金及现金等价物余额(万元),59633,45914,39198,44528,36622,28579,13532,27890,20292, 
 净利润(万元),--,35899,--,38813,39729,--,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,11666,--,2043,766,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,25516,--,22800,19884,--,--,--,--, 
 无形资产摊销(万元),--,3552,--,3556,3492,--,--,--,--, 
 长期待摊费用摊销(万元),--,333,--,280,232,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,59,--,3,62,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,5344,--,5079,3370,--,--,--,--, 
