报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),27092,22894,40531,29971,17427,19285,8859,12968,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),231,315,144,503,250,574,301,313,
应收账款(万元),55385,34205,44925,34671,26541,26680,16334,9883,
预付款项(万元),10124,5611,2548,3035,4103,2363,1881,2208,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,21,--,--,--,--,5,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),6616,5290,4421,3253,3069,1944,3817,1509,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),43705,39206,29502,23416,28527,24267,24242,23344,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),221,10147,242,225,254,18,29,--,
流动资产合计(万元),143375,117687,122314,95073,80171,75131,55469,50224,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),500,500,500,500,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),2866,1903,1839,1816,1743,604,525,627,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),--,85880,--,69619,63866,--,--,--,
累计折旧(万元),--,13998,--,11054,8816,--,--,--,
固定资产净值(万元),--,71882,--,58565,55050,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),83695,71882,60631,58565,55050,33138,16729,10923,
在建工程(万元),33108,23261,16447,12392,5148,6018,3194,1402,
工程物资(万元),1,--,5,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),6221,5927,4787,5119,4487,2366,1973,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),14852,14323,12397,10389,9964,7249,4341,1729,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),1628,1515,1039,1039,1039,562,443,443,
长期待摊费用(万元),7287,6045,3314,3042,2622,2217,2160,1093,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),6261,5984,6189,5916,5701,4967,3926,2556,
其他非流动资产(万元),8376,4779,10313,6116,5244,2570,3927,2048,
非流动资产合计(万元),164795,136121,117460,104894,91000,59692,37217,20821,
资产总计(万元),308170,253808,239775,199967,171171,134823,92686,71045,
短期借款(万元),75270,41320,38900,35720,23693,20785,17650,5750,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,127,1457,366,--,--,--,
应付账款(万元),70977,53965,61749,56912,49063,47594,35499,37346,
预收账款(万元),3332,3499,2725,2042,3887,4179,1573,981,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
