 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),7679,42449,18485,25021,29149,9931,2122,119,56, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),83,1638,454,280,875,106,3296,1007,213, 
 经营活动现金流入小计(万元),7762,44087,18939,25301,30024,10037,5419,1125,269, 
 购买商品、接受劳务支付的现金(万元),7373,48340,25284,29191,34953,14108,10797,997,50, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1839,5794,2644,1339,2697,981,889,230,64, 
 支付的各项税费(万元),1785,4129,1791,1183,4700,1857,1401,3,0, 
 支付的其他与经营活动有关的现金(万元),1050,5162,2819,1559,3048,1103,3916,1218,122, 
 经营活动现金流出小计(万元),12046,63424,32538,33273,45398,18048,17002,2448,236, 
 经营活动产生的现金流量净额(万元),-4284,-19338,-13599,-7972,-15374,-8011,-11584,-1322,33, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,3,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,60,--,--,19,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,60,0,0,19,0,0,3,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),923,5051,1557,1735,5203,3280,523,223,37, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,11210,9280,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,6000,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),923,22261,10837,1735,5203,3280,523,223,37, 
 投资活动产生的现金流量净额(万元),-923,-22201,-10837,-1735,-5184,-3280,-523,-220,-37, 
 吸收投资收到的现金(万元),--,--,--,--,30000,30000,16350,1200,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),10333,56785,23628,6210,16117,12200,6180,400,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,367,308,367,--,--,400,--,--, 
 筹资活动现金流入小计(万元),10333,57152,23936,6577,46117,42200,22930,1600,0, 
 偿还债务支付的现金(万元),3590,24916,7529,1700,9080,2580,3500,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),511,3072,2312,132,422,240,181,14,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),70,193,117,48,--,--,--,--,--, 
 筹资活动现金流出小计(万元),4171,28181,9958,1880,9502,2820,3681,14,0, 
 筹资活动产生的现金流量净额(万元),6162,28971,13978,4696,36614,39380,19249,1586,0, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),955,-12568,-10457,-5010,16056,28088,7142,44,-4, 
 加:期初现金及现金等价物余额(万元),10705,23273,23273,23273,7217,7217,75,31,36, 
 期末现金及现金等价物余额(万元),11659,10705,12815,18263,23273,35305,7217,75,31, 
 净利润(万元),--,9426,3367,--,8187,343,2635,544,-46, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,2295,-186,--,2169,135,1514,46,3, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1558,488,--,299,123,112,25,14, 
 无形资产摊销(万元),--,361,121,--,99,22,38,71,18, 
 长期待摊费用摊销(万元),--,232,59,--,50,12,11,6,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-18,--,--,-1,--,228,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,1329,396,--,567,253,183,15,--, 
 投资损失(万元),--,--,--,--,--,--,--,-3,--, 
 递延所得税资产减少(万元),--,-2099,-71,--,-507,-55,-375,-24,-2, 
 递延所得税负债增加(万元),--,-119,-15,--,--,--,--,--,--, 
 存货的减少(万元),--,4085,-1020,--,-9324,-3552,-2303,-1566,-9, 
 经营性应收项目的减少(万元),--,-48315,-3847,--,-41198,-2169,-37357,-4919,-31, 
 经营性应付项目的增加(万元),--,11928,-12891,--,24287,-3122,21506,4483,85, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,2224,--,--, 
 经营活动产生现金流量净额(万元),--,-19338,-13599,--,-15374,-8011,-11584,-1322,33, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),11659,10705,12815,18263,23273,35305,7217,75,31, 
 现金的期初余额(万元),10705,23273,23273,23273,7217,7217,75,31,36, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),955,-12568,-10457,-5010,16056,28088,7142,44,-4, 

