报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),46890,69758,57469,64455,60798,49645,47223,17491,
结算备付金(万元),--,--,0,--,--,--,--,--,
拆出资金(万元),--,--,0,--,--,--,--,--,
交易性金融资产(万元),--,--,0,--,--,--,--,--,
衍生金融资产(万元),--,--,0,--,--,--,--,--,
应收票据(万元),871,3238,2555,3017,4560,2041,1592,931,
应收账款(万元),22506,23421,24770,23601,21770,17410,19448,14899,
预付款项(万元),5792,519,158,711,463,122,494,226,
应收保费(万元),--,--,0,--,--,--,--,--,
应收分保账款(万元),--,--,0,--,--,--,--,--,
应收分保合同准备金(万元),--,--,0,--,--,--,--,--,
应收利息(万元),436,555,408,395,420,--,--,--,
应收股利(万元),--,--,0,--,--,--,--,--,
其他应收款(万元),57,73,92,68,41,26,122,322,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,0,--,--,--,--,--,
存货(万元),2178,2245,1856,1646,1499,2223,2528,2518,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,0,--,--,--,--,--,
其他流动资产(万元),95101,75079,85568,68,59,4000,--,--,
流动资产合计(万元),173830,174888,172877,93962,89610,75466,71405,36387,
发放贷款及垫款(万元),--,--,0,--,--,--,--,--,
可供出售金融资产(万元),--,--,0,--,--,--,--,--,
持有至到期投资(万元),--,--,0,--,--,--,--,--,
长期应收款(万元),--,--,0,--,--,--,--,--,
长期股权投资(万元),--,--,0,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),662,656,257,279,285,325,338,351,
固定资产原值(万元),--,16090,--,13426,12695,11808,9731,--,
累计折旧(万元),--,6240,--,5897,5525,4860,4325,--,
