报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),11747,39251,28323,18324,8944,33757,24016,29302,13193,29277,24618,17874,
营业收入(万元),11747,39251,28323,18324,8944,33757,24016,29302,13193,29277,24618,17874,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),10738,34198,24505,15757,7606,28891,20640,25126,11336,24224,21143,15896,
营业成本(万元),9478,28771,20833,13411,6497,24584,17536,21425,9617,21330,18569,13605,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),67,389,307,204,81,293,102,121,65,140,140,398,
销售费用(万元),117,458,533,357,180,668,475,513,249,476,386,334,
管理费用(万元),1135,4310,2581,1617,790,3033,2314,2723,1237,2015,1821,1511,
财务费用(万元),-65,230,231,148,53,285,208,328,162,254,193,43,
资产减值损失(万元),6,40,20,20,5,27,6,15,6,8,35,6,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),134,--,--,--,--,--,--,17,16,18,5,43,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1141,5307,4025,2774,1343,4866,3376,4194,1873,5071,3480,2020,
营业外收入(万元),0,721,464,81,0,232,47,161,11,392,28,0,
营业外支出(万元),1,19,40,37,9,63,49,51,25,25,119,7,
非流动资产处置损失(万元),--,--,21,20,--,39,31,15,--,1,21,2,
利润总额(万元),1140,6009,4449,2818,1334,5035,3374,4304,1860,5438,3388,2013,
所得税费用(万元),135,843,671,398,219,940,955,1061,443,1213,796,188,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1005,5165,3778,2420,1116,4095,2418,3243,1417,4225,2592,1825,
归属于母公司所有者的净利润(万元),1011,5189,3795,2429,1116,4095,2418,3243,1417,4225,2589,1830,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-6,-24,-17,-9,--,--,--,--,--,-0,3,-6,
基本每股收益,0.11,0.72,0.57,0.37,0.17,0.62,0.37,0.54,0.24,0.7,0.43,0.31,
稀释每股收益,0.11,0.72,0.57,0.37,0.17,0.62,0.37,0.54,0.24,0.7,0.43,0.31,
