报告日期,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),78484,58070,41827,66433,51839,122631,97573,
营业收入(万元),78484,58070,41827,66433,51839,122631,97573,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),60945,43946,26995,48190,40714,104847,81254,
营业成本(万元),32631,24394,14689,25124,19056,83829,68802,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),1937,1394,890,1546,964,581,392,
销售费用(万元),--,--,--,--,--,--,--,
管理费用(万元),10736,6986,4351,9616,8637,8910,5180,
财务费用(万元),15294,10785,6865,12011,10381,10445,6896,
资产减值损失(万元),348,387,199,-106,1676,1082,-17,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),25492,19955,18340,18243,11125,17784,16319,
营业外收入(万元),179,56,21,7113,4056,1627,2305,
营业外支出(万元),102,31,25,20,131,28,90,
非流动资产处置损失(万元),--,0,0,--,--,1,0,
利润总额(万元),25569,19979,18336,25336,15050,19384,18534,
所得税费用(万元),4921,4215,3499,2236,-49,5179,3444,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),20648,15764,14838,23100,15099,14204,15090,
归属于母公司所有者的净利润(万元),20648,15764,14838,23100,15099,14204,15090,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,
基本每股收益,0.2,0.15,0.14,0.22,0.14,0.16,0.22,
稀释每股收益,0.2,0.15,0.14,0.22,0.14,0.16,0.22,
