报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),8258,31341,15218,7343,25150,25337,21933,
营业收入(万元),8258,31341,15218,7343,25150,25337,21933,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),7226,25745,12266,6053,20447,20760,19111,
营业成本(万元),5633,20179,9665,4822,15569,15993,14369,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),85,357,176,79,263,156,141,
销售费用(万元),306,1183,575,325,1017,972,771,
管理费用(万元),848,3441,1630,821,3770,3515,3160,
财务费用(万元),364,583,229,70,-220,70,688,
资产减值损失(万元),-11,2,-9,-64,49,52,-18,
公允价值变动收益(万元),10,-288,-288,-94,288,--,-70,
投资收益(万元),--,-10,-10,--,16,4,70,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),1223,5550,2708,1247,5001,4460,2822,
营业外收入(万元),0,13,9,2,104,151,93,
营业外支出(万元),9,19,16,--,25,68,73,
非流动资产处置损失(万元),--,--,14,--,--,--,6,
利润总额(万元),1214,5545,2702,1249,5080,4542,2842,
所得税费用(万元),215,763,357,182,824,764,487,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),999,4781,2345,1066,4256,3778,2355,
归属于母公司所有者的净利润(万元),999,4781,2345,1066,4256,3778,2355,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,
基本每股收益,0.15,0.72,0.35,0.16,0.72,0.84,0.52,
稀释每股收益,0.15,0.72,0.35,0.16,0.72,0.84,0.52,
