 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),29451,133375,58907,33335,104091,105271,98372, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),2444,9695,4456,1773,7395,8041,8783, 
 收到的其他与经营活动有关的现金(万元),4367,8251,4969,2859,19796,37376,69416, 
 经营活动现金流入小计(万元),36262,151320,68332,37967,131282,150687,176572, 
 购买商品、接受劳务支付的现金(万元),21849,83225,35228,23519,68455,66705,76430, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6744,23413,11164,5498,18872,18058,15486, 
 支付的各项税费(万元),2597,7563,3340,1424,7553,6086,4512, 
 支付的其他与经营活动有关的现金(万元),6482,18884,11218,5269,22545,45569,71782, 
 经营活动现金流出小计(万元),37672,133086,60951,35710,117425,136417,168210, 
 经营活动产生的现金流量净额(万元),-1410,18234,7381,2257,13857,14270,8363, 
 收回投资所收到的现金(万元),--,--,--,--,34191,18209,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,695,147,27, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),79,308,494,65,754,539,519, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,0, 
 收到的其他与投资活动有关的现金(万元),--,902,902,65,1669,8067,45665, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),79,1210,1396,130,37309,26963,46211, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3654,14445,7165,2958,15923,2313,5793, 
 投资所支付的现金(万元),--,105,105,--,16071,33120,473, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,300,--,--,300,4867,1442, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,44479, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3654,14850,7270,2958,32294,40300,52187, 
 投资活动产生的现金流量净额(万元),-3575,-13640,-5875,-2828,5015,-13337,-5977, 
 吸收投资收到的现金(万元),--,--,--,--,8576,3754,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),6995,52720,10420,5520,58120,108785,110249, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,5600,83969,--, 
 筹资活动现金流入小计(万元),6995,52720,10420,5520,72296,196508,110249, 
 偿还债务支付的现金(万元),750,50720,7900,3357,62550,131825,106569, 
 分配股利、利润或偿付利息所支付的现金(万元),706,2136,1012,625,2278,3779,6006, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,15,--,--, 
 支付其他与筹资活动有关的现金(万元),443,1535,914,438,34050,56275,407, 
