报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),588949,324683,267129,204425,235117,272575,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,17844,14334,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),13108,14005,16057,9516,10895,11706,
应收账款(万元),57519,74750,79447,97390,91776,114567,
预付款项(万元),1144,740,927,1134,1234,1421,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),184,285,171,52,3017,2683,
应收股利(万元),--,--,--,--,--,1695,
其他应收款(万元),4246,1378,1171,1204,31228,16333,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),34673,32329,36121,35380,66739,63968,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),6608,9221,2862,3684,5379,5741,
流动资产合计(万元),706430,457391,403886,370630,459719,490689,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,1100,4243,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),5591,5794,5660,5634,34361,23125,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,62895,--,63958,156465,--,
累计折旧(万元),--,35151,--,33417,60876,--,
固定资产净值(万元),--,27743,--,30541,95589,--,
固定资产减值准备(万元),--,181,--,181,--,--,
固定资产(万元),26770,27562,28948,30360,95589,94625,
在建工程(万元),339,297,264,196,6166,7605,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),7605,7191,6543,7542,26713,29368,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),119455,119455,119455,120056,215127,217857,
长期待摊费用(万元),351,376,369,655,1486,678,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),3678,3921,3498,3248,6630,5477,
其他非流动资产(万元),204,92,63,268,272,4424,
非流动资产合计(万元),163995,164688,164800,167959,387445,387401,
资产总计(万元),870425,622079,568686,538589,847164,878091,
短期借款(万元),--,--,--,--,--,1200,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,
应付账款(万元),15093,14774,10700,11542,18346,31392,
预收账款(万元),278,323,242,500,287,138,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),3328,3881,3660,3218,3366,4142,
应交税费(万元),15849,25459,15693,20763,17262,16151,
应付利息(万元),--,--,--,--,--,2,
应付股利(万元),--,--,--,--,92151,76806,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),2382,1967,29760,38423,110765,58852,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),2677,3342,3597,4260,--,--,
流动负债合计(万元),39606,49746,63653,78706,242178,188683,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),126,120,146,178,60,60,
递延所得税负债(万元),437,479,561,1426,3767,3864,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),563,599,707,1604,3827,3924,
负债合计(万元),40170,50345,64360,80310,246005,192607,
实收资本(或股本)(万元),61588,55429,55429,55429,8281,8281,
资本公积(万元),460632,235607,235608,235654,146543,164449,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),27715,27715,26062,26062,4140,4140,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),268663,240959,174036,127806,424145,477265,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),818299,560447,492412,446750,583965,656698,
少数股东权益(万元),11957,11287,11914,11529,17194,28785,
所有者权益(或股东权益)合计(万元),830255,571734,504326,458279,601159,685483,
负债和所有者权益(或股东权益)总计(万元),870425,622079,568686,538589,847164,878091,		
