报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),167812,143138,108678,106228,192626,207767,198908,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,256,99,94,1589,17189,2041,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),56556,50562,66031,58049,26264,6209,7869,
应收账款(万元),154162,142613,114193,126735,104238,87454,91078,
预付款项(万元),12533,11555,9835,11290,17594,9124,15949,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),9136,8807,7949,9501,13393,42484,61844,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),140724,157020,162447,141842,135373,97735,105392,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,19995,--,--,--,
其他流动资产(万元),33547,3154,13758,12935,11906,22369,4903,
流动资产合计(万元),574469,517105,482990,486668,502984,490329,487984,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,1081,943,881,
持有至到期投资(万元),--,--,--,--,9993,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),20721,22002,22321,23039,23623,24039,24460,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),5751,5959,5906,5979,6035,4362,2223,
固定资产原值(万元),321855,--,309848,--,294603,--,--,
累计折旧(万元),95186,--,84841,--,87704,--,--,
固定资产净值(万元),226669,--,225006,--,206899,--,--,
固定资产减值准备(万元),110,--,110,--,110,--,--,
固定资产(万元),226559,221537,224896,201023,206789,200040,200341,
在建工程(万元),54635,55813,46356,45861,33358,16618,20163,
工程物资(万元),--,--,--,--,--,9,111,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),10107,10195,10427,10634,10904,11686,12409,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),2351,1632,1872,1482,1008,1087,409,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),2860,2392,2490,2382,2506,2431,2354,
其他非流动资产(万元),8483,8799,9124,10357,7062,10098,11783,
非流动资产合计(万元),331466,328330,323392,300757,302359,271314,275136,
资产总计(万元),905935,845435,806382,787425,805343,761643,763120,
短期借款(万元),248446,251209,232639,235914,222830,151144,206393,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),421,428,420,413,1059,765,319,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),104524,111723,112236,102916,174489,267237,232168,
应付账款(万元),62316,70811,58398,63952,49154,52782,73376,
预收账款(万元),8155,7863,6930,6552,5439,6339,6166,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),2841,1847,3540,2926,3637,2667,2607,
应交税费(万元),1948,1772,2157,2184,3659,1948,3013,
应付利息(万元),642,544,669,477,4980,4613,2784,
应付股利(万元),4300,--,--,--,--,226,239,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),1380,2193,1749,1717,11798,13087,24704,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),45366,60060,92060,75459,26323,44778,20907,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),480339,508450,510798,492509,503369,545585,572676,
长期借款(万元),64058,49784,12065,38333,70803,29000,46179,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),29109,34749,37041,27682,7970,1144,2892,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),7268,7717,7650,8265,8582,4940,4675,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),100435,92250,56756,74281,87355,35083,53745,
负债合计(万元),580774,600700,567554,566790,590724,580668,626422,
实收资本(或股本)(万元),43000,36500,36500,36500,36500,36500,32200,
