报告日期,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),11980,5339,4334,6399,6082,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),20,47,90,--,--,
应收账款(万元),5696,7147,5456,4610,1429,
预付款项(万元),270,306,49,267,29,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),1311,4537,2619,1374,4205,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),2524,2653,2082,1390,2446,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),7209,5333,12987,12508,6049,
流动资产合计(万元),29009,25362,27616,26548,20239,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),1547,1731,1765,764,857,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),1550,1607,1665,1779,1893,
固定资产原值(万元),48539,--,43201,25807,--,
累计折旧(万元),14329,--,11627,9964,--,
固定资产净值(万元),34209,--,31574,15842,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),34209,30418,31574,15842,16659,
在建工程(万元),3682,3160,3071,1658,19,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),7969,7407,6684,5469,4833,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),1053,841,810,339,291,
其他非流动资产(万元),4,235,--,--,--,
非流动资产合计(万元),50013,45399,45569,25851,24552,
资产总计(万元),79022,70760,73185,52399,44790,
短期借款(万元),--,--,--,--,4000,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,--,--,--,--,
应付账款(万元),8202,7884,10763,2520,2624,
预收账款(万元),8852,8139,7924,6932,7141,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),1091,332,878,822,762,
应交税费(万元),1257,1182,2983,1202,1585,
应付利息(万元),--,--,--,--,8,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),83,114,68,39,34,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),19486,17651,22616,11515,16155,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),3622,2333,1175,2448,1243,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),2559,2658,2756,2953,3150,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),6181,4990,3931,5401,4393,
负债合计(万元),25666,22641,26547,16917,20548,
实收资本(或股本)(万元),12000,12000,12000,12000,10500,
资本公积(万元),16807,16353,16353,16353,6425,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),1527,1393,1320,860,633,
盈余公积(万元),5498,3698,3698,1036,3120,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),17524,14675,13267,5233,3564,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),53356,48119,46638,35482,24243,
少数股东权益(万元),--,--,--,--,--,
所有者权益(或股东权益)合计(万元),53356,48119,46638,35482,24243,
负债和所有者权益(或股东权益)总计(万元),79022,70760,73185,52399,44790,		
  
