报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),45021,13411,13808,9370,6576,3497,1714,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,30,29,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),15824,20304,12740,10787,26410,6313,946,
应收账款(万元),35621,26326,23792,24192,15093,17080,4140,
预付款项(万元),263,429,322,206,48,94,18,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),522,503,443,386,143,34,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),519,592,568,568,308,195,80,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),18827,17168,21095,18313,12070,8936,4002,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,129,26,--,--,
其他流动资产(万元),17735,19795,25491,25560,22410,5202,191,
流动资产合计(万元),134332,98528,98258,89512,83086,41381,11119,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),11922,11237,10558,--,6507,--,--,
累计折旧(万元),3427,3003,2595,--,1598,--,--,
固定资产净值(万元),8494,8234,7964,--,4909,--,--,
固定资产减值准备(万元),--,--,--,--,20,--,--,
固定资产(万元),8494,8234,7964,5780,4888,2089,992,
在建工程(万元),--,1903,1675,4363,342,--,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),0,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),196,209,136,144,83,81,142,
开发支出(万元),131,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),4043,2576,2817,1116,831,762,24,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),303,249,249,342,290,213,46,
其他非流动资产(万元),587,817,1140,1196,554,--,--,
非流动资产合计(万元),13755,13987,13980,12941,6989,3144,1205,
资产总计(万元),148087,112515,112239,102453,90075,44526,12324,
短期借款(万元),--,--,--,--,--,--,385,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),22674,19281,10236,8534,7117,3417,1283,
应付账款(万元),14323,15128,26320,22532,15698,15276,4898,
预收账款(万元),188,102,191,112,1258,926,137,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),809,855,830,981,1623,999,300,
应交税费(万元),551,700,140,934,1107,1860,299,
应付利息(万元),--,--,--,--,0,0,1,
应付股利(万元),916,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),1823,864,1133,793,507,547,1059,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,200,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),41284,36929,38851,33886,27511,23024,8363,
长期借款(万元),--,--,--,--,--,200,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),322,332,363,343,287,--,--,
长期递延收益(万元),2384,2433,3018,1799,1420,1620,1470,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
