报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),142612,117387,113058,148568,
营业收入(万元),142612,117387,113058,148568,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),131910,107018,109962,143836,
营业成本(万元),116119,91331,91415,128732,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),--,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),346,311,241,212,
销售费用(万元),4418,4303,3869,3878,
管理费用(万元),10825,9790,13557,8641,
财务费用(万元),350,217,605,1352,
资产减值损失(万元),-149,1065,276,1019,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),205,290,65,34,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),12803,10663,3161,4767,
营业外收入(万元),13,689,664,400,
营业外支出(万元),20,41,37,15,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),12796,11312,3788,5152,
所得税费用(万元),1647,1436,850,424,
未确认投资损失(万元),--,--,--,--,
净利润(万元),11149,9876,2938,4727,
归属于母公司所有者的净利润(万元),11020,9795,2887,4704,
被合并方在合并前实现净利润(万元),--,--,105,78,
少数股东损益(万元),129,81,51,23,
基本每股收益,1.38,1.22,--,--,
稀释每股收益,1.38,1.22,--,--,
