 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),60047,183167,161791,87346,40763,198673,139552,178295,85793,183684,162003,151451, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1489,3724,2117,1319,1000,1818,1583,3676,1875,3730,2397,649, 
 收到的其他与经营活动有关的现金(万元),382,2631,1422,572,195,1423,1008,1603,1179,1843,2554,3434, 
 经营活动现金流入小计(万元),61918,189522,165329,89237,41958,201914,142143,183574,88847,189257,166954,155534, 
 购买商品、接受劳务支付的现金(万元),48039,88823,89990,48579,23515,78327,47411,99729,54958,132114,118477,100094, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),9609,29872,22063,14829,7446,23332,17089,19890,9104,18532,18073,16701, 
 支付的各项税费(万元),3111,17688,14172,8984,3096,15206,12536,12190,5918,11720,13290,13750, 
 支付的其他与经营活动有关的现金(万元),1257,6620,4920,2598,1525,5132,3803,4521,2325,5448,5539,6200, 
 经营活动现金流出小计(万元),62015,143002,131144,74991,35582,121998,80838,136331,72305,167814,155379,136745, 
 经营活动产生的现金流量净额(万元),-96,46520,34185,14246,6375,79916,61304,47243,16541,21443,11575,18788, 
 收回投资所收到的现金(万元),61399,5,2005,2005,--,2005,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),466,53,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),32,44,34,34,13,99,96,5,1,20,41,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,215,2,2,--,308,77,86,25,46,500,430, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),61897,318,2042,2042,13,2412,173,91,26,66,541,432, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9211,21765,12976,8387,2849,5844,2673,3949,2958,7339,30940,41967, 
 投资所支付的现金(万元),31399,30005,2005,2005,2005,2005,5,150,--,--,--,2798, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,8064, 
 支付的其他与投资活动有关的现金(万元),--,641,244,244,2340,207,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),40610,52411,15225,10636,7195,8056,2678,4099,2958,7339,30940,52828, 
 投资活动产生的现金流量净额(万元),21288,-52093,-13184,-8595,-7181,-5645,-2505,-4008,-2933,-7274,-30400,-52396, 
 吸收投资收到的现金(万元),--,57490,57490,--,--,--,--,--,--,--,--,7590, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),23180,77949,70384,62949,25848,180533,112690,245035,128277,250492,251459,239454, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),2007,12941,17141,17141,5644,19711,12921,32131,32781,33352,22881,47687, 
 筹资活动现金流入小计(万元),25187,148380,145015,80090,31493,200244,125611,277166,161058,283844,274339,294731, 
 偿还债务支付的现金(万元),24413,128259,101800,74800,33845,222703,145005,274044,135980,276484,216821,215332, 
 分配股利、利润或偿付利息所支付的现金(万元),501,6884,6064,5223,950,7152,6111,11064,6840,11776,12228,14627, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
