报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),4526,38050,27863,14005,4496,38878,26819,25583,9348,5947,
营业收入(万元),4526,38050,27863,14005,4496,38878,26819,25583,9348,5947,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),4171,30417,21626,11028,3845,29924,20527,20315,7610,5405,
营业成本(万元),2807,22613,16430,8073,2733,21935,15200,13682,4243,2814,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),36,261,189,94,47,408,273,250,17,12,
销售费用(万元),475,2549,1975,1202,341,2746,1953,1835,1028,549,
管理费用(万元),908,4421,2504,1481,732,4362,2771,3999,2289,1989,
财务费用(万元),-58,-165,-54,-20,-11,-1,-11,-29,-1,-1,
资产减值损失(万元),4,738,582,199,1,475,341,578,35,42,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,46,29,
投资收益(万元),--,89,--,--,--,--,--,430,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1498,9272,7856,4087,652,8954,7714,5697,1784,572,
营业外收入(万元),172,487,376,211,890,2370,13,1261,587,482,
营业外支出(万元),0,--,--,0,0,3,3,1,40,2,
非流动资产处置损失(万元),--,--,--,--,--,--,--,1,--,2,
利润总额(万元),1670,9759,8232,4298,1541,11321,7724,6958,2331,1052,
所得税费用(万元),223,1336,1283,537,164,1552,1264,900,240,117,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),1447,8423,6949,3761,1378,9769,6460,6058,2091,935,
归属于母公司所有者的净利润(万元),1447,8423,6949,3761,1378,9769,6460,6058,2091,935,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.27,1.9,--,0.88,0.32,2.3,--,1.43,0.49,0.22,
稀释每股收益,0.27,1.9,--,0.88,0.32,2.3,--,1.43,0.49,0.22,
