报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),121516,62223,45241,44990,43905,29380,17905,10676,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,169,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,
应收账款(万元),61389,48678,37922,32133,32098,23663,21712,12339,
预付款项(万元),29327,10104,7391,4486,5828,3766,3713,3014,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),35686,39989,27412,36874,22984,20480,12945,10903,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),6642,5575,3702,3977,3498,3507,3120,2442,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),9929,6214,2725,1772,1892,1353,1183,368,
流动资产合计(万元),264489,172784,124394,124233,110375,82148,60577,39742,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),--,352180,--,236600,--,166215,--,--,
累计折旧(万元),--,59950,--,41906,--,27229,--,--,
固定资产净值(万元),--,292229,--,194693,--,138986,--,--,
固定资产减值准备(万元),--,--,--,235,--,--,--,--,
固定资产(万元),310111,292229,284322,194458,183848,138986,105784,109340,
在建工程(万元),31478,19097,18831,13388,14706,7196,1748,55,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),9145,7563,7133,2722,2419,619,450,237,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),60227,54936,43888,25438,27089,15730,11701,7678,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),1956,1956,1170,1558,267,983,361,289,
其他非流动资产(万元),--,--,--,--,--,--,--,--,
非流动资产合计(万元),412918,375781,355345,237564,228330,163513,120044,117598,
资产总计(万元),677407,548565,479739,361797,338705,245661,180621,157341,
短期借款(万元),79000,49000,44500,25761,17500,18000,28544,17493,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,363,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,739,2000,1003,540,--,
应付账款(万元),33485,25528,22330,20874,16297,13546,16472,14059,
预收账款(万元),10532,10059,10447,10894,8231,6745,4847,3321,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1064,5503,365,3509,--,2717,1977,1726,
应交税费(万元),7319,6070,5237,4675,6114,3216,1455,930,
应付利息(万元),80,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),30038,28510,21892,22098,21690,13778,11838,11765,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),2341,3886,7017,13158,11767,2429,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),163859,128556,112150,101708,83599,61434,65673,49294,
长期借款(万元),73653,58787,30495,8415,9920,5714,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),228099,234875,228524,161427,155524,126649,89024,94700,
专项应付款(万元),40,40,18,19,36,47,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),11470,11291,10325,10835,11073,6856,362,112,
递延所得税负债(万元),--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,
非流动负债合计(万元),313263,304993,269362,180696,176554,139265,89385,94812,
负债合计(万元),477122,433549,381511,282404,260152,200699,155058,144106,
实收资本(或股本)(万元),40050,36000,36000,36000,36000,8000,8000,8000,
资本公积(万元),96353,23364,27535,23364,27535,55,55,55,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),6112,6112,1985,2056,--,3967,1805,565,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),57771,49540,32707,17973,15017,32922,15844,4719,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),200285,115016,98227,79393,78553,44944,25704,13339,
少数股东权益(万元),--,--,--,--,--,18,-142,-104,
所有者权益(或股东权益)合计(万元),200285,115016,98227,79393,78553,44962,25563,13235,
负债和所有者权益(或股东权益)总计(万元),677407,548565,479739,361797,338705,245661,180621,157341,		
  
