 报告日期,2018-06-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),38951,61262,39000,17733,48346,59128,72718, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4420,8586,2752,469,3553,1935,1931, 
 经营活动现金流入小计(万元),43371,69848,41751,18202,51899,61062,74649, 
 购买商品、接受劳务支付的现金(万元),836,2084,1763,814,1619,2350,1756, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3277,4842,4221,2108,3503,3218,2449, 
 支付的各项税费(万元),8428,11816,8802,4499,10132,12855,11743, 
 支付的其他与经营活动有关的现金(万元),22463,24057,12139,5081,17465,29541,42329, 
 经营活动现金流出小计(万元),35003,42799,26925,12501,32718,47965,58277, 
 经营活动产生的现金流量净额(万元),8368,27049,14826,5701,19180,13098,16372, 
 收回投资所收到的现金(万元),320,9870,87520,17425,69680,48800,136830, 
 取得投资收益所收到的现金(万元),12,45,1697,770,1259,440,213, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,10,0,--,14,7,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,49,49,383,2035,2147, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),332,9925,89266,18244,71336,51282,139190, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1239,3373,17867,3213,4509,3420,5817, 
 投资所支付的现金(万元),300,290,67327,18177,84350,68250,143225, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,506,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1539,3663,85700,21390,88859,71670,149042, 
 投资活动产生的现金流量净额(万元),-1207,6262,3566,-3146,-17523,-20388,-9852, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,2417, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,500, 
 筹资活动现金流入小计(万元),0,0,0,0,0,0,2917, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,1238, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),52,252,1023,628,2275,--,1000, 
 筹资活动现金流出小计(万元),52,252,1023,628,2275,0,2238, 
 筹资活动产生的现金流量净额(万元),-52,-252,-1023,-628,-2275,0,679, 
 汇率变动对现金及现金等价物的影响(万元),--,--,85,26,91,--,--, 
 现金及现金等价物净增加额(万元),7108,33059,17454,1953,-526,-7291,7199, 
 加:期初现金及现金等价物余额(万元),53980,20921,3467,3467,3993,11284,4084, 
 期末现金及现金等价物余额(万元),61088,53980,20921,5420,3467,3993,11284, 
 净利润(万元),10050,47882,19165,7793,19525,17586,11895, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),665,204,86,-9,-16,-21,-43, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1237,1722,1700,875,1545,1293,697, 
 无形资产摊销(万元),479,956,952,476,952,932,925, 
 长期待摊费用摊销(万元),0,1,1,1,1,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),1,73,38,20,53,368,39, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,--,-85,-26,-91,--,30, 
 投资损失(万元),-12,-35655,-4456,-2110,-3764,-2577,-577, 
 递延所得税资产减少(万元),-120,-39,134,128,-51,13,-15, 
 递延所得税负债增加(万元),--,6599,--,--,--,--,--, 
 存货的减少(万元),564,322,-697,-448,103,-423,-560, 
 经营性应收项目的减少(万元),-13766,-5139,-2340,123,-32,406,1045, 
 经营性应付项目的增加(万元),9473,10529,730,-1144,1308,-4136,2143, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),-204,-407,-403,22,-352,-343,795, 
 经营活动产生现金流量净额(万元),8368,27049,14826,5701,19180,13098,16372, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),61088,53980,20921,5420,3467,3993,11284, 
 现金的期初余额(万元),53980,20921,3467,3467,3993,11284,4084, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),7108,33059,17454,1953,-526,-7291,7199, 

