报告日期,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),72099,39828,31877,21777,27861,15279,15419,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),288,59,2167,2150,2168,4184,3958,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),5214,2820,860,1351,1673,1698,1101,
应收账款(万元),56694,56067,49090,43089,32083,51119,42630,
预付款项(万元),4234,4960,9937,3810,8600,5372,3846,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,540,--,
其他应收款(万元),2646,2381,1928,1715,2875,6828,1795,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),63212,55138,58175,64482,47485,35098,30824,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),4178,2241,3546,5088,1823,1471,1229,
流动资产合计(万元),208565,163494,157579,143462,124568,121589,100801,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),988,988,500,500,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),10244,7328,2858,2547,2261,2017,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),26,27,28,28,20,76,84,
固定资产原值(万元),73892,--,70619,--,60852,--,--,
累计折旧(万元),37311,--,31220,--,23951,--,--,
固定资产净值(万元),36581,--,39399,--,36901,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),36581,36881,39399,37386,36901,25250,24003,
在建工程(万元),114,165,38,--,166,7628,4468,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),8524,8599,8238,4781,4565,2300,2519,
