报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),41732,16044,81761,61087,36371,16840,80049,57426,34473,66652,59113,41111,24281,
营业收入(万元),41732,16044,81761,61087,36371,16840,80049,57426,34473,66652,59113,41111,24281,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),39887,15246,74708,55704,33470,14956,71881,52459,32123,57824,51297,36994,22528,
营业成本(万元),33097,12444,60222,44293,25669,11689,57596,41389,24813,45850,41594,29656,16688,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),150,78,688,626,538,347,1170,727,350,324,493,383,131,
销售费用(万元),617,319,1254,990,667,208,1478,840,554,1385,1336,835,639,
管理费用(万元),3863,1693,9476,7323,4612,1577,7604,5773,3630,7032,6657,5459,3767,
财务费用(万元),1784,800,2957,2513,1989,1329,3341,3553,2628,2255,835,498,453,
资产减值损失(万元),374,-88,110,-41,-6,-194,692,176,148,978,383,164,850,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,-30,-3,--,--,1,1,1,12,-11,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,-55,-11,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2991,1655,9065,5381,2902,1884,8169,4969,2351,8840,7805,4117,1752,
营业外收入(万元),56,8,433,1336,805,596,791,405,341,677,412,687,357,
营业外支出(万元),16,1,23,13,7,1,50,49,2,33,6,0,1,
非流动资产处置损失(万元),--,--,--,5,4,--,38,37,0,0,1,0,--,
利润总额(万元),3030,1662,9475,6704,3700,2479,8911,5324,2690,9484,8212,4804,2109,
所得税费用(万元),213,335,1268,1143,656,433,1705,1025,612,1418,1242,741,319,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2817,1328,8207,5561,3044,2046,7206,4298,2078,8066,6969,4063,1790,
归属于母公司所有者的净利润(万元),2837,1337,8220,5580,3062,2051,7282,4367,2130,8071,6969,4063,1790,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-20,-9,-13,-19,-18,-4,-76,-69,-53,-5,--,--,--,
基本每股收益,0.35,0.17,1.15,0.81,0.48,0.34,1.21,0.73,0.36,1.35,1.16,0.68,0.3,
稀释每股收益,0.35,0.17,1.15,0.81,0.48,0.34,1.21,0.73,0.36,1.35,1.16,0.68,0.3,
