报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),6866,43194,30135,19137,8153,45612,32704,17417,39896,31984,20691,
营业收入(万元),6866,43194,30135,19137,8153,45612,32704,17417,39896,31984,20691,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),6042,35235,24057,15316,6824,38135,26822,15109,34081,27524,18676,
营业成本(万元),4428,27979,19498,12376,5280,30335,21975,11955,26091,22123,14732,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),55,429,296,169,56,385,187,69,449,117,61,
销售费用(万元),349,1989,1435,909,441,1940,1471,801,1896,1522,877,
管理费用(万元),1228,5105,3166,2094,1076,5439,3153,2209,5765,3773,2997,
财务费用(万元),-84,-457,-320,-221,-36,-160,-76,0,-189,-277,-135,
资产减值损失(万元),67,189,-17,-11,7,196,113,74,68,267,144,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),149,-76,-69,-50,-28,126,-50,-50,3293,-636,-74,
对联营企业和合营企业的投资收益(万元),-23,-76,-69,-50,-28,126,-50,--,-149,-114,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1133,8187,6240,3972,1449,7603,5831,2258,9108,3824,1941,
营业外收入(万元),2,354,354,202,1,837,126,75,246,41,50,
营业外支出(万元),--,0,7,1,--,31,0,19,3,5,4,
非流动资产处置损失(万元),--,--,7,1,--,12,0,--,1,1,--,
利润总额(万元),1135,8541,6587,4173,1449,8409,5957,2314,9351,3861,1987,
所得税费用(万元),164,1410,998,738,246,1390,894,458,1733,618,427,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),970,7131,5588,3435,1203,7019,5063,1856,7618,3243,1561,
归属于母公司所有者的净利润(万元),869,6252,4961,3012,1043,6177,4568,1587,7253,2905,1448,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),101,879,627,423,160,842,495,268,365,338,112,
基本每股收益,0.08,0.74,0.59,0.36,0.12,0.99,0.84,0.4,--,--,--,
稀释每股收益,0.08,0.74,0.59,0.36,0.12,0.99,0.84,0.4,--,--,--,
