报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
营业总收入(万元),41503,191770,153106,100506,44334,173436,134379,82208,42618,381620,218640,168962,94134,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
利息收入(万元),12024,108477,42868,50555,16824,92058,32035,46516,9802,117573,21500,43135,29240,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),19819,96362,72899,47308,22336,115978,87565,60383,29576,268387,152309,105269,75517,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),91,966,414,313,99,831,707,393,158,723,372,832,630,
营业总成本(万元),21634,105804,72007,47117,22676,93456,66937,46603,23718,135909,68607,81845,67367,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
利息支出(万元),--,51619,--,21048,--,45283,--,26340,--,69655,--,19424,6643,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),29,480,60,41,10,321,236,149,72,273,137,320,249,
营业税金及附加(万元),331,2148,1203,813,276,5729,4675,4329,2837,22742,12906,9048,5579,
销售费用(万元),21473,100453,69885,46065,22413,86987,62332,42598,21109,112224,53362,67863,61490,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
资产减值损失(万元),-199,2723,859,197,-23,419,-306,-473,-299,670,2202,4613,50,
公允价值变动收益(万元),-4000,-28021,-14476,-6941,-9111,-35474,-24343,-22616,-3913,-13184,6917,7477,-9903,
投资收益(万元),13551,65638,51339,30378,14200,45179,38355,23828,7006,77665,37543,31668,5335,
对联营企业和合营企业的投资收益(万元),807,3778,2906,2075,890,3732,2988,2231,--,4370,1399,-10,-534,
汇兑收益(万元),-90,-143,-107,-59,-14,147,60,45,-11,111,-2,5,-42,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),2387,6789,4684,3001,1528,5498,4304,3254,2036,5815,5072,793,643,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),19870,85966,81099,53458,21658,79980,67441,35605,18900,245712,150033,87117,26767,
营业外收入(万元),87,436,435,273,209,607,471,56,16,548,44,892,1120,
营业外支出(万元),37,720,543,533,19,204,13,6,1,708,508,503,202,
非流动资产处置损失(万元),--,--,--,--,--,--,--,5,--,136,36,362,42,
利润总额(万元),19920,85682,80992,53198,21848,80383,67900,35655,18915,245552,149569,87505,27685,
所得税费用(万元),3956,20461,17809,11538,5251,19942,16424,9038,4155,59039,37094,18716,8744,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),15964,65222,63183,41660,16597,60442,51476,26617,14759,186513,112474,68789,18941,
归属于母公司所有者的净利润(万元),15868,64973,60280,40647,16522,60201,51393,26617,14780,186507,112474,68611,18719,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),96,249,2903,1013,75,241,82,0,-21,6,--,178,222,
基本每股收益,0.04,0.18,0.17,0.11,0.05,0.21,0.18,0.09,0.05,0.66,--,0.24,0.07,
稀释每股收益,0.04,0.18,0.17,0.11,0.05,0.21,0.18,0.09,0.05,0.66,--,0.24,0.07,
