报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),78858,304708,60007,219591,153510,190914,174489,161246,
营业收入(万元),78858,304708,60007,219591,153510,190914,174489,161246,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),70415,282378,54978,213282,148119,186113,170113,153069,
营业成本(万元),61899,246234,48524,177266,123898,152809,140457,129229,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),988,3470,616,3637,1185,2261,881,961,
销售费用(万元),3121,12376,2823,9371,6452,8533,7795,7149,
管理费用(万元),3726,16025,3330,13824,9903,12610,14177,8812,
财务费用(万元),660,4026,900,7180,5700,8785,6607,5841,
资产减值损失(万元),22,247,-1215,2004,981,1116,195,1077,
公允价值变动收益(万元),--,--,--,--,--,--,--,48,
投资收益(万元),3089,17961,3321,15005,10352,9231,11769,7003,
对联营企业和合营企业的投资收益(万元),3089,17678,3321,14260,9721,8816,11254,6939,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),11961,44071,8483,21605,15744,14025,16145,15228,
营业外收入(万元),1,527,218,1559,1259,1259,2163,2606,
营业外支出(万元),16,103,45,336,292,606,273,215,
非流动资产处置损失(万元),--,--,--,--,26,--,--,--,
利润总额(万元),11946,44495,8657,22827,16710,14678,18035,17618,
所得税费用(万元),2239,4660,791,1926,1083,1429,2052,3006,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),9707,39835,7866,20902,15627,13249,15984,14613,
归属于母公司所有者的净利润(万元),9709,39882,7877,21230,15724,13795,18375,15353,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),-2,-48,-11,-329,-96,-546,-2391,-741,
基本每股收益,0.18,0.73,0.14,0.45,0.35,0.31,--,--,
稀释每股收益,0.18,0.73,0.14,0.45,0.35,0.31,--,--,
