 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),12705,47090,22085,11153,35912,26678,23075,10891,18812,14582,9911, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,5,3,--,4,9,10,10,--,--,1, 
 收到的其他与经营活动有关的现金(万元),97,159,33,15,781,738,929,163,851,1232,869, 
 经营活动现金流入小计(万元),12801,47253,22121,11168,36697,27426,24013,11064,19664,15813,10781, 
 购买商品、接受劳务支付的现金(万元),290,2542,1130,388,993,542,293,165,373,329,289, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5573,15130,7953,4144,11581,8628,7865,4131,7196,6529,6581, 
 支付的各项税费(万元),264,2699,578,26,890,378,582,146,591,73,188, 
 支付的其他与经营活动有关的现金(万元),6128,18865,9380,4849,16366,11185,9363,4293,6656,5798,4741, 
 经营活动现金流出小计(万元),12255,39237,19041,9407,29830,20733,18103,8735,14816,12729,11800, 
 经营活动产生的现金流量净额(万元),546,8016,3079,1761,6868,6693,5910,2329,4848,3085,-1019, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,71100,14600, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,1,175,35, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),61,5,2,1,5,17,57,5,11,76,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,278,1184,102, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,60,--,--,164,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),61,5,2,1,5,77,57,5,454,72535,14737, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),312,1907,1032,550,2926,1438,1537,220,12827,495,894, 
 投资所支付的现金(万元),2700,--,--,--,1000,--,--,--,--,71100,14600, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
