报告日期,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),82761,152546,67976,120189,94755,73983,51554,
营业收入(万元),82761,152546,67976,120189,94755,73983,51554,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),74214,133762,60515,104799,80729,61615,41940,
营业成本(万元),58133,105722,47387,81010,62471,49767,32237,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),340,552,201,709,405,292,315,
销售费用(万元),5018,7408,4167,6218,5396,4447,3985,
管理费用(万元),7462,13415,6647,12461,10510,5590,4488,
财务费用(万元),2335,4339,1748,3713,1552,1089,1391,
资产减值损失(万元),925,2326,367,689,395,430,-477,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),248,1264,-66,10,-14,0,0,
对联营企业和合营企业的投资收益(万元),248,1264,--,10,-14,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),8794,20048,7394,15400,14012,12368,9613,
营业外收入(万元),2335,2738,2069,2759,3354,1310,799,
营业外支出(万元),2,96,33,59,112,17,53,
非流动资产处置损失(万元),1,75,--,39,95,--,--,
利润总额(万元),11127,22690,9430,18100,17253,13662,10360,
所得税费用(万元),3469,6594,3166,5429,5014,3896,2924,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),7658,16096,6264,12671,12239,9766,7436,
归属于母公司所有者的净利润(万元),7705,16120,6333,13234,12423,9803,7383,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),-47,-24,-68,-564,-183,-38,53,
基本每股收益,0.37,0.78,0.31,0.64,0.6,0.5,0.38,
稀释每股收益,0.37,0.78,0.31,0.64,0.6,0.5,0.38,
