报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),17013,14206,8579,13732,16115,18186,17216,14512,10239,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,
应收账款(万元),8642,10000,5697,7270,4715,4594,5024,3376,1878,
预付款项(万元),1040,525,1928,866,752,988,580,928,638,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),374,395,259,407,597,629,1927,1706,273,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),10408,11372,13747,13517,9823,8033,11086,9365,6734,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,156,177,201,225,68,55,40,
其他流动资产(万元),3372,2145,9080,155,165,359,13,160,--,
流动资产合计(万元),40849,38643,39446,36124,32368,33014,35914,30102,19801,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),93,91,79,88,95,114,120,150,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,66553,--,64642,62741,61898,62188,--,--,
累计折旧(万元),--,19975,--,17733,15814,11584,9598,--,--,
固定资产净值(万元),--,46579,--,46909,46927,50314,52590,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),45705,46579,45725,46909,46927,50314,52590,44708,31480,
在建工程(万元),4733,4917,5471,5394,6918,7123,7914,8950,9009,
工程物资(万元),--,--,--,--,--,--,--,55,272,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,49,48,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),8532,8621,8140,8006,8151,8114,5756,5655,5253,
开发支出(万元),612,635,1156,1156,1156,1502,1502,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),408,395,344,353,395,483,503,522,151,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),729,730,1002,672,627,588,471,426,30,
其他非流动资产(万元),1779,985,1490,1045,913,1025,1363,1285,2116,
非流动资产合计(万元),62590,62952,63407,63623,65183,69313,70269,61750,48311,
资产总计(万元),103440,101594,102853,99747,97551,102327,106183,91853,68112,
短期借款(万元),11500,8500,7500,9500,21500,23100,24800,27000,16150,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,820,1500,1880,--,--,
应付账款(万元),4969,6076,7703,6749,6270,7862,12649,13072,8878,
预收账款(万元),4611,622,744,708,846,751,974,1036,2249,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2865,3557,2897,2580,3122,2375,2008,1713,1340,
应交税费(万元),1802,2346,737,518,2503,2526,2443,2235,1865,
应付利息(万元),30,29,27,34,55,71,89,78,35,
应付股利(万元),--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),1037,1275,1113,1185,1314,1402,936,865,1547,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),4432,6701,7033,7899,6655,8339,5236,4650,650,
其他流动负债(万元),357,416,370,444,349,241,241,180,4,
流动负债合计(万元),31604,29521,28125,29617,43434,48168,51254,50830,32718,
长期借款(万元),4550,4925,6200,6575,9825,11825,17325,9650,10350,
应付债券(万元),--,--,--,--,--,--,--,--,--,
长期应付款(万元),645,629,4719,1172,1479,3165,1282,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,
长期递延收益(万元),2043,2145,2443,2352,1973,1659,1899,1604,446,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),7238,7699,13361,10100,13277,16649,20506,11254,10796,
负债合计(万元),38842,37220,41486,39717,56711,64817,71760,62085,43514,
实收资本(或股本)(万元),12000,12000,12000,12000,9000,9000,9000,9000,9000,
资本公积(万元),22623,22623,22614,22614,7300,7300,7300,7300,7300,
减:库存股(万元),--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,
盈余公积(万元),1942,1942,1488,1488,1488,1139,845,533,231,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,
未分配利润(万元),28073,27844,25265,23928,23052,20062,17267,12936,8068,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),64639,64409,61367,60030,40840,37501,34412,29768,24598,
少数股东权益(万元),-41,-35,--,--,--,9,10,--,--,
所有者权益(或股东权益)合计(万元),64598,64374,61367,60030,40840,37510,34422,29768,24598,
负债和所有者权益(或股东权益)总计(万元),103440,101594,102853,99747,97551,102327,106183,91853,68112,		
  
