报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
货币资金(万元),1244497,1040135,1041552,1190304,1040135,1511974,1632940,1862543,868676,
结算备付金(万元),179483,238149,234304,226290,238149,226531,197449,350937,384446,
拆出资金(万元),--,--,--,--,--,--,--,--,15000,
交易性金融资产(万元),1246127,1043297,965459,1009593,1043297,483582,493173,308210,122847,
衍生金融资产(万元),418,611,1070,273,611,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,
应收账款(万元),26243,19459,27531,40648,19459,36403,25797,7758,10760,
预付款项(万元),--,--,--,--,--,--,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),48834,41788,39540,41656,41788,33368,44222,42766,26771,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),12393,10544,11568,9127,10544,10792,19081,35729,29416,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),474014,630341,264693,149145,630341,507849,1211042,1295289,800211,
存货(万元),--,--,--,--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1132476,1277112,1126399,947285,1277112,1090991,1161368,689043,112287,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),287912,282693,272767,259593,282693,199209,170623,164871,84705,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),2628,2672,2715,2759,2672,2846,4934,4987,8851,
固定资产原值(万元),--,33185,--,32304,--,--,--,--,--,
累计折旧(万元),--,24790,--,25273,--,--,--,--,--,
固定资产净值(万元),--,8394,--,7031,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),8019,8394,7869,7031,8394,6955,5177,7885,13389,
在建工程(万元),6784,5800,5162,4468,5800,3144,2640,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),34302,35361,34000,33305,35361,32449,31867,32954,33147,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),28622,29754,34025,29509,29754,12083,12083,12964,1218,
其他非流动资产(万元),17875,37049,13004,36368,37049,47946,15730,2453,3038,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,
资产总计(万元),5794610,5770060,4966411,4783402,5770060,5039056,5843204,5957357,3434882,
短期借款(万元),53687,54334,43420,34369,54334,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),64000,80000,--,--,80000,147000,93000,66000,159000,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),3596,2849,2271,6,2849,0,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,
应付账款(万元),1529,45528,30606,--,45528,19,12372,14823,13451,
预收账款(万元),--,--,--,--,--,--,--,--,--,
卖出回购金融资产款(万元),400960,365201,445836,403146,365201,662840,1195767,1285689,588896,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),133561,135088,127308,114060,135088,80783,67080,79865,24017,
应交税费(万元),20261,20214,23469,28994,20214,16350,12846,41578,15386,
应付利息(万元),31350,34764,30663,18194,34764,41482,34783,35020,6583,
应付股利(万元),--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,--,--,--,--,--,--,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),1187102,1022460,1145854,1288506,1022460,1505048,1710395,2022016,1020214,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,
