 报告日期,2018-03-31,2017-12-31,2016-12-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),-2250593,6037937,6213401,5352853, 
 向中央银行借款净增加额(万元,-50000,555000,183000,73000, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),308064,1125936,899161,736177, 
 拆入资金净增加额(万元),456264,1068026,-410386,-299343, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1018,12500,72431,176193, 
 经营活动现金流入小计(万元),-1535247,8799399,6957608,6038880, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--, 
 客户贷款及垫款净增加额(万元),1017036,3662293,2559031,2077104, 
 存放中央银行和同业款项净增加额(万元),-565488,920005,933693,-267993, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),191675,655848,468473,451887, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),79417,213011,156660,120976, 
 支付的各项税费(万元),31218,268176,198424,203961, 
 支付的其他与经营活动有关的现金(万元),194471,256228,127193,108314, 
 经营活动现金流出小计(万元),948328,5975560,4443473,2694249, 
 经营活动产生的现金流量净额(万元),-2483576,2823839,2514135,3344631, 
 收回投资所收到的现金(万元),27722379,146313745,198671229,110255015, 
 取得投资收益所收到的现金(万元),240752,835899,786680,561463, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),232,20668,150,2126, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),27963363,147170311,199458059,110818604, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6708,70629,108759,45846, 
 投资所支付的现金(万元),27882115,149990634,204706631,114941589, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),27888823,150061264,204815390,114987436, 
 投资活动产生的现金流量净额(万元),74541,-2890953,-5357332,-4168831, 
 吸收投资收到的现金(万元),--,20176,14420,179200, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--, 
 发行债券收到的现金(万元),3234307,10441154,8561636,2972684, 
 收到其他与筹资活动有关的现金(万元),--,--,5663,0, 
 筹资活动现金流入小计(万元),3234307,10461330,8581719,3151884, 
 偿还债务支付的现金(万元),1825000,9729000,5288000,1710000, 
 分配股利、利润或偿付利息所支付的现金(万元),2625,75276,49141,45200, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--, 
 筹资活动现金流出小计(万元),1827625,9804276,5337141,1755200, 
 筹资活动产生的现金流量净额(万元),1406682,657053,3244578,1396685, 
 汇率变动对现金及现金等价物的影响(万元),-1292,-1292,1497,288, 
 现金及现金等价物净增加额(万元),-1003646,588648,402878,572773, 
 加:期初现金及现金等价物余额(万元),2605696,2017048,1614170,1041397, 
 期末现金及现金等价物余额(万元),1602050,2605696,2017048,1614170, 
 净利润(万元),126151,398501,325169,276811, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),61032,292269,221304,150191, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),4804,12772,12841,10235, 
 无形资产摊销(万元),847,2252,1922,1062, 
 长期待摊费用摊销(万元),2416,9898,7321,6103, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),25,-252,30,892, 
 固定资产报废损失(万元),--,--,--,--, 
 公允价值变动损失(万元),-7162,-8105,5345,-5925, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),-245906,-843420,-639777,-540486, 
 投资损失(万元),-7689,14938,-19687,-39921, 
 递延所得税资产减少(万元),-7129,-35475,-36393,-22757, 
 递延所得税负债增加(万元),--,--,--,--, 
 存货的减少(万元),--,--,--,--, 
 经营性应收项目的减少(万元),-549987,-4634099,-3500525,-1662729, 
 经营性应付项目的增加(万元),-1860978,7614560,6136585,5171156, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),--,--,--,--, 
 经营活动产生现金流量净额(万元),-2483576,2823839,2514135,3344631, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),987316,2047818,1714218,770440, 
 现金的期初余额(万元),2047818,1714218,770440,810697, 
 现金等价物的期末余额(万元),614734,557878,302830,843730, 
 现金等价物的期初余额(万元),557878,302830,843730,230700, 
 现金及现金等价物的净增加额(万元),-1003646,588648,402878,572773, 

