报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),29186,22003,76204,14102,17996,19609,14521,9645,10996,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),382,207,--,39,73,--,--,--,207,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),2405,2333,1843,2383,1866,4166,1083,2076,1824,
应收账款(万元),21862,20840,19545,23746,20664,23191,19409,15567,12789,
预付款项(万元),1895,1471,1377,1082,1046,1481,1616,840,852,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),46,142,74,89,259,272,302,463,354,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),49243,46107,42841,36938,35891,27591,32410,24785,22950,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),31836,32638,598,935,1060,521,753,1097,576,
流动资产合计(万元),136856,125740,142482,79315,78854,76830,70095,54473,50549,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1064,1064,1014,1014,1014,1014,1014,1014,1014,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,95462,--,90827,85512,--,--,--,--,
累计折旧(万元),--,33848,--,32172,29053,--,--,--,--,
固定资产净值(万元),--,61614,--,58655,56459,--,--,--,--,
固定资产减值准备(万元),--,996,--,--,--,--,--,--,--,
固定资产(万元),60287,60618,60855,58655,56459,45758,46020,40268,33929,
在建工程(万元),7928,6557,6084,8162,2907,8242,6825,6923,6123,
工程物资(万元),938,544,815,649,431,442,332,140,259,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),15297,15324,15295,15360,11304,7695,7744,4833,4948,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),537,226,354,312,133,190,212,57,54,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),407,466,219,352,274,228,268,211,303,
