报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),48286,11648,12026,7497,753,1454,3069,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,
应收账款(万元),2218,913,1625,990,2890,2625,1960,
预付款项(万元),3475,8274,2982,4490,3724,1880,1828,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),1062,824,549,573,166,176,306,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),39739,36907,36815,34594,30954,25277,18946,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),306,305,254,384,376,165,83,
其他流动资产(万元),11047,2427,2392,2782,5173,4728,2823,
流动资产合计(万元),106133,61297,56643,51310,44036,36306,29015,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),2305,2106,1829,1386,1332,1147,1132,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,11138,--,10839,10513,--,--,
累计折旧(万元),--,4060,--,3449,3143,--,--,
固定资产净值(万元),--,7079,--,7390,7370,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),6933,7079,7289,7390,7370,1213,1199,
在建工程(万元),--,--,--,--,4,2411,9,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),1932,1970,2142,2077,1824,1421,1439,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),671,671,671,671,671,671,671,
长期待摊费用(万元),2725,2869,2670,2318,1993,1864,1657,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),968,968,835,528,423,442,366,
其他非流动资产(万元),--,--,--,--,--,--,--,
非流动资产合计(万元),15535,15664,15436,14371,13617,9170,6473,
资产总计(万元),121668,76961,72079,65680,57653,45476,35487,
短期借款(万元),--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,
应付账款(万元),26764,22685,24639,21373,17171,14023,10273,
预收账款(万元),1122,1058,816,842,651,564,508,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),2197,2561,2130,2103,1835,1486,1266,
应交税费(万元),3020,3831,2352,2351,1911,1178,990,
应付利息(万元),--,--,--,--,--,--,--,
应付股利(万元),--,864,725,1953,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),1067,1580,1660,1485,3019,1824,593,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
