报告日期,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),143380,179951,162758,204712,201095,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),5792,460,560,186,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),42624,58855,17607,17405,26446,
应收账款(万元),248956,183466,188196,191323,148066,
预付款项(万元),8465,7483,4907,4864,1361,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),52,1337,2901,4432,3960,
其他应收款(万元),9283,9835,11059,8396,9919,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),95935,73047,64438,67806,69746,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),6613,4704,5935,20,13,
流动资产合计(万元),561101,522890,462180,499644,461190,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,10123,11941,12732,8391,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),2000,2000,3342,23093,--,
长期股权投资(万元),128070,124187,105260,73106,68372,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),--,357634,284839,245269,--,
累计折旧(万元),--,165447,152695,147025,--,
固定资产净值(万元),--,192187,132144,98244,--,
固定资产减值准备(万元),--,41,41,41,--,
固定资产(万元),189855,192146,132103,98203,78253,
在建工程(万元),22990,16447,46628,8874,9389,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),32490,32805,44317,31252,26881,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),188,208,68,11,24,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),6442,5524,5796,1509,2596,
其他非流动资产(万元),14502,10446,5000,7130,4016,
非流动资产合计(万元),404686,393887,354455,255911,197921,
资产总计(万元),965788,916776,816634,755555,659112,
短期借款(万元),55692,49501,64471,111631,143892,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),27295,29383,8528,6162,1777,
应付账款(万元),116721,105193,79520,79071,68213,
预收账款(万元),--,24157,15690,10028,8098,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),26283,30400,22926,12186,10574,
应交税费(万元),18719,18846,12437,7350,6881,
应付利息(万元),973,819,784,591,2220,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),37420,35082,33986,17904,13407,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),1382,1382,25234,52763,3364,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),304140,294762,263576,297687,258427,
长期借款(万元),47683,48129,86958,82082,101888,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),8027,8322,8804,3102,3835,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),26651,16980,14941,2243,3813,
非流动负债合计(万元),82361,73431,110703,87427,109536,
负债合计(万元),386501,368194,374280,385113,367963,
实收资本(或股本)(万元),68211,68211,68211,68211,63946,
资本公积(万元),155203,155173,155173,155010,134146,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),40205,40205,26994,16497,9147,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),291019,253597,157365,108022,71606,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),558819,523832,416588,354795,281380,
少数股东权益(万元),20468,24751,25767,15647,9769,
所有者权益(或股东权益)合计(万元),579287,548583,442355,370442,291149,
负债和所有者权益(或股东权益)总计(万元),965788,916776,816634,755555,659112,		
  
