报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,
营业总收入(万元),15899423,7769490,35454385,13672047,6486224,27271265,27279999,
营业收入(万元),15899423,7769490,35454385,13672047,6486224,27271265,27279999,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),15221962,7447030,33496605,13028430,6169689,25539586,25568406,
营业成本(万元),14603894,7136896,31858197,12410063,5862429,24367247,24415724,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),15075,7466,54001,22075,11576,47479,33656,
销售费用(万元),77755,35897,179282,79564,37521,164928,158603,
管理费用(万元),505494,220946,1242567,458937,225216,910599,885319,
财务费用(万元),13103,52517,85515,34272,20975,18012,-1456,
资产减值损失(万元),6641,-6693,77043,23519,11972,31322,76561,
公允价值变动收益(万元),-28423,--,--,--,--,--,--,
投资收益(万元),-2719,326,1810,-726,-419,-498,959,
对联营企业和合营企业的投资收益(万元),-326,-77,-1012,-1032,-246,-909,-373,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),660264,323979,1995713,642239,314397,1726953,1718766,
营业外收入(万元),1698,1296,8831,2916,1515,29668,34303,
营业外支出(万元),431,224,418,152,100,739,1401,
非流动资产处置损失(万元),--,--,--,--,--,--,--,
利润总额(万元),661531,325052,2004127,645004,315811,1755882,1751668,
所得税费用(万元),116893,59753,382134,116346,61859,316864,316657,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),544638,265299,1621993,528658,253953,1439018,1435011,
归属于母公司所有者的净利润(万元),544410,265323,1586761,532498,253819,1436570,1435034,
被合并方在合并前实现净利润(万元),--,--,1614299,--,253953,1439018,1435011,
少数股东损益(万元),228,-24,35232,-3840,134,2448,-24,
基本每股收益,0.3,0.15,0.95,--,--,--,--,
稀释每股收益,0.3,0.15,0.95,--,--,--,--,
